date,cases
2020-03-22,436
2020-04-13,102
2020-04-16,203
2020-05-19,300
2020-05-23,464
2020-05-29,617
2020-06-04,689
2020-06-05,712
2020-06-06,745
2020-06-09,822
2020-06-12,81
2020-06-16,211
2020-06-17,233
2020-06-19,301
2020-06-20,365
2020-06-22,439
2020-06-25,509
2020-06-29,618
2020-07-01,10
2020-07-02,328
2020-07-08,796
2020-07-10,41
2020-07-13,104
2020-07-14,133
2020-07-15,175
2020-07-16,214
2020-07-17,236
2020-07-18,262
2020-07-20,367
2020-07-21,404
2020-07-22,441
2020-07-23,466
2020-07-24,491
2020-07-25,510
2020-07-26,541
2020-07-27,569
2020-07-28,589
2020-07-29,623
2020-07-30,660
2020-07-31,677
2020-08-01,20
2020-08-02,330
2020-08-03,646
2020-08-04,690
2020-08-05,719
2020-08-06,747
2020-08-07,769
2020-08-08,800
2020-08-09,824
2020-08-10,48
2020-08-11,70
2020-08-12,83
2020-08-13,110
2020-08-14,136
2020-08-15,182
2020-08-16,215
2020-08-17,239
2020-08-18,266
2020-08-19,310
2020-08-20,372
2020-08-21,407
2020-08-22,444
2020-08-24,499
2020-08-25,516
2020-08-26,544
2020-08-27,571
2020-08-28,598
2020-08-29,630
2020-08-30,661
2020-08-31,684
2020-09-01,28
2020-09-02,331
2020-09-03,653
2020-09-04,701
2020-09-05,725
2020-09-06,753
2020-09-07,785
2020-09-08,808
2020-09-09,838
2020-09-10,59
2020-09-11,73
2020-09-12,91
2020-09-13,113
2020-09-14,141
2020-09-15,192
2020-09-16,218
2020-09-17,244
2020-09-18,273
2020-09-19,318
2020-09-20,381
2020-09-21,425
2020-09-22,454
2020-09-23,472
2020-09-24,502
2020-09-25,522
2020-09-26,555
2020-09-27,579
2020-09-28,606
2020-09-29,635
2020-09-30,670
2020-10-01,9
2020-10-02,327
2020-10-03,641
2020-10-04,688
2020-10-05,711
2020-10-06,744
2020-10-07,763
2020-10-08,795
2020-10-09,818
2020-10-10,40
2020-10-11,67
2020-10-12,80
2020-10-13,101
2020-10-14,132
2020-10-15,174
2020-10-16,202
2020-10-17,232
2020-10-18,258
2020-10-19,299
2020-10-20,363
2020-10-21,401
2020-10-22,435
2020-10-23,463
2020-10-24,489
2020-10-25,507
2020-10-26,540
2020-10-27,563
2020-10-28,586
2020-10-29,616
2020-10-30,658
2020-10-31,673
