date,cases
2020-04-19,55
2020-04-21,67
2020-04-29,105
2020-05-02,58
2020-05-04,116
2020-05-05,117
2020-05-06,125
2020-05-08,132
2020-05-09,136
2020-05-11,5
2020-05-12,14
2020-05-13,21
2020-05-14,32
2020-05-15,37
2020-05-19,57
2020-05-21,70
2020-05-22,76
2020-05-23,79
2020-05-24,84
2020-05-27,99
2020-05-29,107
2020-05-31,113
2020-06-02,59
2020-06-03,108
2020-06-06,126
2020-06-07,128
2020-06-08,134
2020-06-10,4
2020-06-11,9
2020-06-13,23
2020-06-16,41
2020-06-17,44
2020-06-18,52
2020-06-22,77
2020-06-23,82
2020-06-25,90
2020-06-26,93
2020-06-30,111
2020-07-01,2
2020-07-05,118
2020-07-06,127
2020-07-07,131
2020-07-09,138
2020-07-11,10
2020-07-12,17
2020-07-13,25
2020-07-14,33
2020-07-18,53
2020-07-20,65
2020-07-21,73
2020-07-23,83
2020-07-24,86
2020-07-28,101
2020-07-30,112
2020-08-05,119
2020-08-08,135
2020-08-09,139
2020-08-12,18
2020-08-13,27
2020-08-14,34
2020-08-17,46
2020-08-21,75
2020-08-24,88
2020-08-28,104
2020-08-31,114
2020-09-15,39
2020-09-18,54
2020-09-25,91
2020-09-26,95
2020-10-06,123
2020-10-15,35
2020-10-18,50
2020-10-20,64
2020-10-21,66
