date,cases
2020-05-11,62
2020-05-14,144
2020-05-15,195
2020-05-21,373
2020-05-22,404
2020-05-23,444
2020-05-24,464
2020-05-25,513
2020-05-28,587
2020-05-29,621
2020-05-31,685
2020-06-02,318
2020-06-05,779
2020-06-09,887
2020-06-11,66
2020-06-16,225
2020-06-17,235
2020-06-18,256
2020-06-19,287
2020-06-21,374
2020-06-22,405
2020-06-23,447
2020-06-25,517
2020-06-26,550
2020-06-27,566
2020-06-28,588
2020-06-29,622
2020-06-30,660
2020-07-01,8
2020-07-02,319
2020-07-03,640
2020-07-04,723
2020-07-05,780
2020-07-06,809
2020-07-07,831
2020-07-08,852
2020-07-09,890
2020-07-10,30
2020-07-11,69
2020-07-12,93
2020-07-13,116
2020-07-14,148
2020-07-15,199
2020-07-16,232
2020-07-17,239
2020-07-18,263
2020-07-19,288
2020-07-20,351
2020-07-21,382
2020-07-22,413
2020-07-23,454
2020-07-24,468
2020-07-25,518
2020-07-26,551
2020-07-27,571
2020-07-28,598
2020-07-29,626
2020-07-30,671
2020-07-31,691
2020-08-01,14
2020-08-02,325
2020-08-03,646
2020-08-04,738
2020-08-05,788
2020-08-06,824
2020-08-07,837
2020-08-08,865
2020-08-09,893
2020-08-10,35
2020-08-11,79
2020-08-12,101
2020-08-13,129
2020-08-14,164
2020-08-15,206
2020-08-17,247
2020-08-18,277
2020-08-19,299
2020-08-20,362
2020-08-21,394
2020-08-22,428
2020-08-24,495
2020-08-25,535
2020-08-26,560
2020-08-27,584
2020-08-28,614
2020-08-29,634
2020-08-30,673
2020-08-31,704
2020-09-01,21
2020-09-02,340
2020-09-03,657
2020-09-04,767
2020-09-05,797
2020-09-07,842
2020-09-08,876
2020-09-09,898
2020-09-10,59
2020-09-11,89
2020-09-12,104
2020-09-13,136
2020-09-14,189
2020-09-15,215
2020-09-17,252
2020-09-18,281
2020-09-19,308
2020-09-20,366
2020-09-21,397
2020-09-22,435
2020-09-23,461
2020-09-24,504
2020-09-25,540
2020-09-26,563
2020-09-28,618
2020-09-29,635
2020-09-30,683
2020-10-01,2
2020-10-02,317
2020-10-03,637
2020-10-04,712
2020-10-05,778
2020-10-06,805
2020-10-07,827
2020-10-08,847
2020-10-09,886
2020-10-10,22
2020-10-11,61
2020-10-12,92
2020-10-13,112
2020-10-14,143
2020-10-15,194
2020-10-16,224
2020-10-17,233
2020-10-18,255
2020-10-19,286
2020-10-20,349
2020-10-21,371
2020-10-22,403
2020-10-23,443
2020-10-24,463
2020-10-25,512
2020-10-26,545
2020-10-27,565
2020-10-28,585
