date,cases
2020-05-20,1
2020-05-31,2
2020-06-13,8
2020-06-17,13
2020-06-19,19
2020-06-22,20
2020-06-29,45
2020-07-03,52
2020-07-06,56
2020-07-08,57
2020-07-11,58
2020-07-13,60
2020-07-14,63
2020-07-15,65
2020-07-16,67
2020-07-20,68
2020-07-21,75
2020-07-22,76
2020-07-23,77
2020-07-27,78
2020-07-29,84
2020-07-31,87
2020-08-01,89
2020-08-02,90
2020-08-06,92
2020-08-10,93
2020-08-11,100
2020-08-13,102
2020-08-14,106
2020-08-15,143
2020-08-16,150
2020-08-17,153
2020-08-18,155
2020-08-19,160
2020-08-20,167
2020-08-21,177
2020-08-22,182
2020-08-23,185
2020-08-24,197
2020-08-25,202
2020-08-26,206
2020-08-27,218
2020-08-28,225
2020-08-29,228
2020-08-30,229
2020-08-31,240
2020-09-01,243
2020-09-02,250
2020-09-03,253
2020-09-04,268
2020-09-05,274
2020-09-06,277
2020-09-07,286
2020-09-08,297
2020-09-09,310
2020-09-10,322
2020-09-11,333
2020-09-12,335
2020-09-13,340
2020-09-14,343
2020-09-15,354
2020-09-16,359
2020-09-17,360
2020-09-18,367
2020-09-19,368
2020-09-20,369
2020-09-21,379
2020-09-22,396
2020-09-23,404
2020-09-24,405
2020-09-25,409
2020-09-26,411
2020-09-27,418
2020-09-28,437
2020-09-29,451
2020-09-30,457
2020-10-01,463
2020-10-02,476
2020-10-03,489
2020-10-04,497
2020-10-05,509
2020-10-06,518
2020-10-07,531
2020-10-08,547
2020-10-09,554
2020-10-10,559
2020-10-11,562
2020-10-12,568
2020-10-13,578
2020-10-14,583
2020-10-15,592
2020-10-16,602
2020-10-17,604
2020-10-18,605
2020-10-19,610
2020-10-20,621
2020-10-21,628
2020-10-22,632
2020-10-23,650
2020-10-24,656
2020-10-25,658
2020-10-26,664
2020-10-27,668
2020-10-28,677
2020-10-30,678
2020-11-01,679
2020-11-04,680
