date,cases
2020-06-28,1
2020-07-01,2
2020-07-03,4
2020-07-04,5
2020-07-10,7
2020-07-16,10
2020-07-18,25
2020-07-21,28
2020-07-23,29
2020-07-26,31
2020-07-27,35
2020-07-29,37
2020-07-30,38
2020-08-01,40
2020-08-02,44
2020-08-03,45
2020-08-04,47
2020-08-06,48
2020-08-09,49
2020-08-11,52
2020-08-12,53
2020-08-13,57
2020-08-14,61
2020-08-15,67
2020-08-16,70
2020-08-17,78
2020-08-18,87
2020-08-19,94
2020-08-20,107
2020-08-21,122
2020-08-22,126
2020-08-23,141
2020-08-24,149
2020-08-25,186
2020-08-26,232
2020-08-27,260
2020-08-28,277
2020-08-29,291
2020-08-30,296
2020-08-31,328
2020-09-01,355
2020-09-02,383
2020-09-03,400
2020-09-04,434
2020-09-05,450
2020-09-06,463
2020-09-07,498
2020-09-08,508
2020-09-09,528
2020-09-10,559
2020-09-11,572
2020-09-12,585
2020-09-13,594
2020-09-14,613
2020-09-15,618
2020-09-16,619
2020-09-17,620
2020-09-18,628
2020-09-19,630
2020-09-20,631
2020-09-21,643
2020-09-22,651
2020-09-23,654
2020-09-24,655
2020-09-25,662
2020-09-26,664
2020-09-27,666
2020-09-28,671
2020-09-29,674
2020-09-30,678
2020-10-04,679
2020-10-05,686
2020-10-06,688
2020-10-09,689
2020-10-10,693
2020-10-11,694
2020-10-13,696
2020-10-14,699
2020-10-15,701
2020-10-16,703
2020-10-17,708
2020-10-18,710
2020-10-19,714
2020-10-20,716
2020-10-21,717
2020-10-22,719
2020-10-23,723
2020-10-24,724
2020-10-25,725
2020-10-26,727
2020-10-27,729
2020-10-29,732
2020-10-30,734
2020-10-31,736
2020-11-05,737
2020-11-07,738
2020-11-08,740
2020-11-09,744
2020-11-13,751
2020-11-14,752
2020-11-18,755
2020-11-19,757
2020-11-22,758
