date,cases
2020-04-20,2
2020-04-23,3
2020-04-25,4
2020-04-30,7
2020-05-12,8
2020-05-14,9
2020-05-19,10
2020-05-26,11
2020-05-28,13
2020-06-03,15
2020-06-04,16
2020-06-05,21
2020-06-06,22
2020-06-12,23
2020-06-17,25
2020-06-20,27
2020-06-22,49
2020-06-23,57
2020-06-24,60
2020-06-25,62
2020-06-26,72
2020-06-28,73
2020-06-29,74
2020-06-30,76
2020-07-01,78
2020-07-02,81
2020-07-03,88
2020-07-04,103
2020-07-05,124
2020-07-06,178
2020-07-07,200
2020-07-08,207
2020-07-09,211
2020-07-10,220
2020-07-11,221
2020-07-12,223
2020-07-13,228
2020-07-14,247
2020-07-15,258
2020-07-16,268
2020-07-17,283
2020-07-18,294
2020-07-19,297
2020-07-20,300
2020-07-21,305
2020-07-22,315
2020-07-23,322
2020-07-24,327
2020-07-25,329
2020-07-27,346
2020-07-28,370
2020-07-29,381
2020-07-30,391
2020-07-31,400
2020-08-01,418
2020-08-02,420
2020-08-03,431
2020-08-04,434
2020-08-05,443
2020-08-06,469
2020-08-07,474
2020-08-08,481
2020-08-09,482
2020-08-10,486
2020-08-11,490
2020-08-12,492
2020-08-13,509
2020-08-14,514
2020-08-15,522
2020-08-16,531
2020-08-17,540
2020-08-18,544
2020-08-19,547
2020-08-20,551
2020-08-21,553
2020-08-22,563
2020-08-23,565
2020-08-24,575
2020-08-25,581
2020-08-26,585
2020-08-27,589
2020-08-28,593
2020-08-29,598
2020-08-30,601
2020-08-31,605
2020-09-02,611
2020-09-04,614
2020-09-05,618
2020-09-07,619
2020-09-08,621
2020-09-10,623
2020-09-11,626
2020-09-12,629
2020-09-13,631
2020-09-14,632
2020-09-16,637
2020-09-17,640
2020-09-18,650
2020-09-19,653
2020-09-22,655
2020-09-23,656
2020-09-24,659
2020-09-25,668
2020-09-26,670
2020-09-28,673
2020-09-30,675
2020-10-01,677
2020-10-02,681
2020-10-03,684
2020-10-05,687
2020-10-06,688
2020-10-07,690
2020-10-08,693
2020-10-09,698
2020-10-10,701
2020-10-11,704
2020-10-12,708
2020-10-13,711
2020-10-14,712
2020-10-15,715
2020-10-16,719
2020-10-17,720
2020-10-18,723
2020-10-20,726
2020-10-21,728
2020-10-22,731
2020-10-23,732
2020-10-24,735
2020-10-25,744
2020-10-26,747
2020-10-27,748
2020-10-29,750
2020-10-30,761
2020-10-31,762
2020-11-01,763
2020-11-02,768
2020-11-03,769
2020-11-04,772
2020-11-05,776
2020-11-06,778
2020-11-07,782
2020-11-08,789
2020-11-09,796
2020-11-10,802
2020-11-11,803
2020-11-12,823
2020-11-13,827
2020-11-14,828
2020-11-16,829
2020-11-18,833
2020-11-20,835
2020-11-21,838
2020-11-23,846
2020-11-24,847
