date,cases
2020-05-03,1
2020-05-27,2
2020-06-12,4
2020-06-13,6
2020-06-14,7
2020-06-16,8
2020-06-26,9
2020-06-28,10
2020-06-30,11
2020-07-05,13
2020-07-10,15
2020-07-12,16
2020-07-14,19
2020-07-19,20
2020-07-22,21
2020-07-23,22
2020-07-25,23
2020-07-27,24
2020-07-28,25
2020-07-29,27
2020-07-30,28
2020-08-02,30
2020-08-04,31
2020-08-05,32
2020-08-11,33
2020-08-13,40
2020-08-14,50
2020-08-15,51
2020-08-19,52
2020-08-20,53
2020-08-22,54
2020-08-25,55
2020-08-27,62
2020-08-28,63
2020-08-29,64
2020-08-30,65
2020-08-31,68
2020-09-04,71
2020-09-13,72
2020-09-14,73
2020-09-15,74
2020-09-17,75
2020-09-25,76
2020-09-29,78
2020-10-01,79
2020-10-02,80
2020-10-04,81
2020-10-05,82
2020-10-06,83
2020-10-07,84
2020-10-08,86
2020-10-13,87
2020-10-16,88
2020-10-17,89
2020-10-18,93
2020-10-19,96
2020-10-20,97
2020-10-21,98
2020-10-23,99
2020-10-26,104
2020-10-27,107
2020-10-29,108
2020-11-01,109
2020-11-03,111
2020-11-05,112
2020-11-06,116
2020-11-08,117
2020-11-09,120
2020-11-10,123
2020-11-13,125
2020-11-14,129
2020-11-15,137
2020-11-16,143
2020-11-17,148
2020-11-19,149
2020-11-21,150
2020-11-24,151
