date,cases
2020-03-28,1
2020-04-06,2
2020-05-02,3
2020-05-03,4
2020-05-06,5
2020-05-20,6
2020-05-22,9
2020-05-24,12
2020-05-25,13
2020-05-26,14
2020-05-27,15
2020-05-28,20
2020-05-29,23
2020-05-30,24
2020-05-31,27
2020-06-01,36
2020-06-02,65
2020-06-03,73
2020-06-04,98
2020-06-05,102
2020-06-06,117
2020-06-07,136
2020-06-08,159
2020-06-09,181
2020-06-10,221
2020-06-11,245
2020-06-12,287
2020-06-13,360
2020-06-14,395
2020-06-15,420
2020-06-16,478
2020-06-17,569
2020-06-18,636
2020-06-19,728
2020-06-20,860
2020-06-21,918
2020-06-22,996
2020-06-23,1113
2020-06-24,1238
2020-06-25,1335
2020-06-26,1419
2020-06-27,1506
2020-06-28,1576
2020-06-29,1709
2020-06-30,1846
2020-07-01,1946
2020-07-02,2087
2020-07-03,2276
2020-07-04,2475
2020-07-05,2566
2020-07-06,2767
2020-07-07,2917
2020-07-08,3107
2020-07-09,3230
2020-07-10,3312
2020-07-11,3430
2020-07-12,3503
2020-07-13,3639
2020-07-14,3741
2020-07-15,3829
2020-07-16,3959
2020-07-17,4090
2020-07-18,4209
2020-07-19,4256
2020-07-20,4324
2020-07-21,4417
2020-07-22,4527
2020-07-23,4682
2020-07-24,4793
2020-07-25,4938
2020-07-26,5022
2020-07-27,5137
2020-07-28,5241
2020-07-29,5383
2020-07-30,5497
2020-07-31,5709
2020-08-01,5844
2020-08-02,5893
2020-08-03,6068
2020-08-04,6172
2020-08-05,6264
2020-08-06,6533
2020-08-07,6681
2020-08-08,6792
2020-08-09,6871
2020-08-10,6937
2020-08-11,7036
2020-08-12,7093
2020-08-13,7215
2020-08-14,7259
2020-08-15,7468
2020-08-16,7544
2020-08-17,7584
2020-08-18,7627
2020-08-19,7680
2020-08-20,7727
2020-08-21,7809
2020-08-22,7912
2020-08-23,7941
2020-08-24,8016
2020-08-25,8096
2020-08-26,8140
2020-08-27,8211
2020-08-28,8254
2020-08-29,8273
2020-08-30,8372
2020-08-31,8423
2020-09-01,8488
2020-09-02,8499
2020-09-03,8531
2020-09-04,8573
2020-09-05,8612
2020-09-06,8619
2020-09-07,8641
2020-09-08,8658
2020-09-09,8699
2020-09-10,8755
2020-09-11,8782
2020-09-12,8814
2020-09-13,8827
2020-09-14,8838
2020-09-15,8865
2020-09-16,8891
2020-09-17,8908
2020-09-18,8925
2020-09-19,8933
2020-09-20,8945
2020-09-21,8960
2020-09-22,8996
2020-09-23,9013
2020-09-24,9031
2020-09-25,9047
2020-09-26,9067
2020-09-27,9092
2020-09-28,9135
2020-09-29,9158
2020-09-30,9181
2020-10-01,9189
2020-10-02,9212
2020-10-03,9252
2020-10-04,9271
2020-10-05,9285
2020-10-06,9306
2020-10-07,9324
2020-10-08,9341
2020-10-09,9351
2020-10-10,9368
2020-10-11,9378
2020-10-12,9381
2020-10-13,9392
2020-10-14,9400
2020-10-15,9413
2020-10-16,9421
2020-10-17,9429
2020-10-18,9440
2020-10-19,9460
2020-10-20,9499
2020-10-21,9513
2020-10-22,9519
2020-10-23,9539
2020-10-24,9543
2020-10-25,9696
2020-10-26,9709
2020-10-27,9722
2020-10-28,9727
2020-10-29,9746
2020-10-30,9757
2020-10-31,9771
2020-11-01,9787
2020-11-02,9796
2020-11-03,9826
2020-11-04,9845
2020-11-05,9861
2020-11-06,9881
2020-11-07,9891
2020-11-08,9911
2020-11-09,9930
2020-11-10,9942
2020-11-11,9957
2020-11-12,9974
2020-11-13,9985
2020-11-14,10007
2020-11-15,10023
2020-11-16,10051
2020-11-17,10069
2020-11-18,10074
2020-11-19,10087
2020-11-20,10105
2020-11-21,10111
2020-11-22,10113
2020-11-23,10116
2020-11-24,10124
2020-11-25,10130
2020-11-26,10143
2020-11-27,10148
2020-11-28,10154
2020-11-29,10155
2020-11-30,10161
