date,cases
2020-05-18,1
2020-05-21,3
2020-06-06,6
2020-06-10,8
2020-06-18,12
2020-06-25,13
2020-07-02,14
2020-07-08,15
2020-07-16,16
2020-07-18,19
2020-07-23,20
2020-07-31,22
2020-08-01,23
2020-08-03,24
2020-08-06,26
2020-08-10,27
2020-08-11,31
2020-08-12,32
2020-08-13,33
2020-08-14,34
2020-08-15,36
2020-08-17,37
2020-08-18,38
2020-08-20,39
2020-08-21,40
2020-08-22,41
2020-08-24,42
2020-08-26,43
2020-08-27,44
2020-08-31,45
2020-09-03,46
2020-09-04,47
2020-09-10,49
2020-09-14,50
2020-09-15,52
2020-09-16,53
2020-09-19,55
2020-09-20,56
2020-09-24,59
2020-09-28,60
2020-09-30,63
2020-10-01,64
2020-10-03,65
2020-10-04,67
2020-10-05,69
2020-10-06,70
2020-10-07,72
2020-10-08,74
2020-10-12,75
2020-10-13,77
2020-10-14,79
2020-10-15,85
2020-10-16,86
2020-10-19,87
2020-10-20,92
2020-10-21,93
2020-10-22,100
2020-10-23,103
2020-10-24,107
2020-10-25,108
2020-10-26,126
2020-10-27,130
2020-10-28,142
2020-10-29,143
2020-10-30,147
2020-10-31,154
2020-11-02,156
2020-11-04,161
2020-11-05,176
2020-11-06,182
2020-11-07,183
2020-11-09,192
2020-11-10,198
2020-11-11,203
2020-11-12,206
2020-11-13,213
2020-11-14,232
2020-11-15,234
2020-11-16,237
2020-11-17,252
2020-11-18,266
2020-11-19,268
2020-11-20,277
2020-11-21,278
2020-11-22,280
2020-11-23,290
2020-11-24,291
2020-11-25,293
2020-11-26,301
2020-11-27,306
2020-11-28,315
2020-11-30,320
2020-12-01,323
2020-12-02,327
2020-12-03,341
2020-12-04,344
2020-12-05,347
2020-12-06,349
2020-12-07,357
2020-12-08,364
2020-12-09,372
2020-12-10,380
2020-12-11,392
2020-12-12,393
2020-12-13,395
2020-12-14,401
2020-12-15,404
2020-12-16,409
2020-12-17,418
2020-12-18,419
