date,cases
2020-04-02,1
2020-04-25,3
2020-04-28,4
2020-05-03,5
2020-05-05,6
2020-05-22,7
2020-05-30,8
2020-06-02,9
2020-06-03,10
2020-06-07,11
2020-06-08,14
2020-06-09,16
2020-06-10,18
2020-06-12,20
2020-06-14,23
2020-06-16,24
2020-06-17,25
2020-06-18,29
2020-06-19,30
2020-06-23,34
2020-06-24,38
2020-06-26,39
2020-06-27,48
2020-06-29,49
2020-06-30,52
2020-07-01,57
2020-07-02,63
2020-07-03,64
2020-07-04,65
2020-07-05,66
2020-07-06,67
2020-07-07,68
2020-07-08,75
2020-07-09,78
2020-07-10,81
2020-07-11,82
2020-07-12,84
2020-07-13,86
2020-07-14,88
2020-07-16,92
2020-07-17,93
2020-07-18,95
2020-07-19,100
2020-07-20,102
2020-07-21,110
2020-07-22,113
2020-07-23,118
2020-07-24,123
2020-07-26,129
2020-07-27,132
2020-07-28,140
2020-07-29,143
2020-07-30,156
2020-07-31,163
2020-08-01,180
2020-08-02,182
2020-08-03,188
2020-08-04,197
2020-08-05,208
2020-08-06,214
2020-08-07,223
2020-08-08,240
2020-08-09,299
2020-08-10,318
2020-08-11,328
2020-08-12,345
2020-08-13,355
2020-08-14,364
2020-08-15,376
2020-08-16,384
2020-08-17,391
2020-08-18,422
2020-08-19,437
2020-08-20,448
2020-08-21,496
2020-08-22,543
2020-08-23,554
2020-08-24,632
2020-08-25,644
2020-08-26,668
2020-08-27,683
2020-08-28,699
2020-08-29,707
2020-08-30,716
2020-08-31,751
2020-09-01,798
2020-09-02,972
2020-09-03,988
2020-09-04,1017
2020-09-05,1028
2020-09-06,1055
2020-09-07,1079
2020-09-08,1117
2020-09-09,1148
2020-09-10,1182
2020-09-11,1210
2020-09-12,1234
2020-09-13,1249
2020-09-14,1271
2020-09-15,1345
2020-09-16,1360
2020-09-17,1383
2020-09-18,1400
2020-09-19,1411
2020-09-20,1429
2020-09-21,1449
2020-09-22,1476
2020-09-23,1509
2020-09-24,1543
2020-09-25,1591
2020-09-26,1617
2020-09-27,1636
2020-09-28,1686
2020-09-29,1728
2020-09-30,1774
2020-10-01,1812
2020-10-02,1868
2020-10-03,1897
2020-10-04,1912
2020-10-05,1975
2020-10-06,2030
2020-10-07,2067
2020-10-08,2091
2020-10-09,2137
2020-10-10,2184
2020-10-11,2209
2020-10-12,2240
2020-10-13,2273
2020-10-14,2310
2020-10-15,2352
2020-10-16,2416
2020-10-17,2471
2020-10-18,2524
2020-10-19,2583
2020-10-20,2683
2020-10-21,2757
2020-10-22,2862
2020-10-23,2977
2020-10-24,3027
2020-10-25,3058
2020-10-26,3157
2020-10-27,3213
2020-10-28,3253
2020-10-29,3305
2020-10-30,3370
2020-10-31,3423
2020-11-01,3452
2020-11-02,3473
2020-11-03,3515
2020-11-04,3542
2020-11-05,3600
2020-11-06,3666
2020-11-07,3690
2020-11-08,3721
2020-11-09,3777
2020-11-10,3834
2020-11-11,3880
2020-11-12,3939
2020-11-13,3993
2020-11-14,4045
2020-11-15,4083
2020-11-16,4110
2020-11-17,4146
2020-11-18,4182
2020-11-19,4235
2020-11-20,4271
2020-11-21,4296
2020-11-22,4303
2020-11-23,4355
2020-11-24,4403
2020-11-25,4434
2020-11-26,4480
2020-11-27,4508
2020-11-28,4532
2020-11-29,4546
2020-11-30,4574
2020-12-01,4610
2020-12-02,4629
2020-12-03,4656
2020-12-04,4695
2020-12-05,4730
2020-12-06,4761
2020-12-07,4786
2020-12-08,4798
2020-12-09,4829
2020-12-10,4860
2020-12-11,4896
2020-12-12,4913
2020-12-13,4918
2020-12-14,4964
2020-12-15,4998
2020-12-16,5036
2020-12-17,5053
2020-12-18,5070
2020-12-19,5080
2020-12-20,5084
2020-12-21,5105
2020-12-22,5110
