date,cases
2020-07-20,32
2020-08-03,58
2020-08-12,10
2020-08-14,11
2020-08-15,17
2020-08-16,19
2020-08-18,24
2020-08-22,44
2020-08-23,47
2020-08-27,54
2020-08-29,56
2020-09-01,3
2020-09-04,62
2020-09-05,67
2020-09-11,4
2020-09-14,12
2020-09-16,20
2020-09-17,21
2020-09-19,26
2020-09-20,39
2020-09-21,42
2020-09-22,46
2020-09-23,49
2020-09-24,51
2020-09-25,52
2020-09-28,55
2020-09-30,61
2020-10-01,2
2020-10-03,57
2020-10-05,65
2020-10-06,68
2020-10-08,70
2020-10-12,9
2020-10-15,15
2020-10-16,18
2020-10-18,22
2020-10-19,25
2020-10-20,27
2020-10-22,43
2020-10-24,50
2020-10-27,53
