date,cases
2020-03-20,1
2020-03-21,2
2020-03-24,3
2020-03-26,4
2020-03-27,5
2020-03-28,6
2020-04-01,8
2020-04-02,9
2020-04-03,15
2020-04-04,16
2020-04-06,17
2020-04-09,18
2020-04-13,19
2020-04-14,23
2020-04-15,30
2020-04-16,31
2020-04-18,32
2020-04-19,33
2020-04-21,38
2020-04-22,42
2020-04-23,58
2020-04-24,71
2020-04-25,82
2020-04-26,90
2020-04-27,106
2020-04-28,130
2020-04-29,158
2020-04-30,198
2020-05-01,248
2020-05-02,280
2020-05-03,294
2020-05-04,345
2020-05-05,390
2020-05-06,486
2020-05-07,559
2020-05-08,643
2020-05-09,685
2020-05-10,736
2020-05-11,773
2020-05-12,821
2020-05-13,854
2020-05-14,942
2020-05-15,985
2020-05-16,1093
2020-05-17,1137
2020-05-18,1194
2020-05-19,1239
2020-05-20,1298
2020-05-21,1376
2020-05-22,1443
2020-05-23,1497
2020-05-24,1551
2020-05-25,1606
2020-05-26,1689
2020-05-27,1743
2020-05-28,1812
2020-05-29,1888
2020-05-30,1967
2020-05-31,2017
2020-06-01,2142
2020-06-02,2236
2020-06-03,2326
2020-06-04,2427
2020-06-05,2567
2020-06-06,2670
2020-06-07,2778
2020-06-08,2949
2020-06-09,3100
2020-06-10,3250
2020-06-11,3423
2020-06-12,3602
2020-06-13,3871
2020-06-14,3993
2020-06-15,4103
2020-06-16,4335
2020-06-17,4581
2020-06-18,4856
2020-06-19,5146
2020-06-20,5400
2020-06-21,5545
2020-06-22,5694
2020-06-23,6128
2020-06-24,6447
2020-06-25,6687
2020-06-26,6979
2020-06-27,7228
2020-06-28,7372
2020-06-29,7484
2020-06-30,7704
2020-07-01,7933
2020-07-02,8126
2020-07-03,8307
2020-07-04,8513
2020-07-05,8656
2020-07-06,8837
2020-07-07,8983
2020-07-08,9207
2020-07-09,9381
2020-07-10,9549
2020-07-11,9693
2020-07-12,9761
2020-07-13,9945
2020-07-14,10122
2020-07-15,10314
2020-07-16,10471
2020-07-17,10613
2020-07-18,10714
2020-07-19,10778
2020-07-20,10833
2020-07-21,10942
2020-07-22,11028
2020-07-23,11172
2020-07-24,11393
2020-07-25,11518
2020-07-26,11586
2020-07-27,11730
2020-07-28,11820
2020-07-29,11898
2020-07-30,12040
2020-07-31,12096
2020-08-01,12171
2020-08-02,12243
2020-08-03,12323
2020-08-04,12425
2020-08-05,12477
2020-08-06,12539
2020-08-07,12562
2020-08-08,12593
2020-08-09,12607
2020-08-10,12670
2020-08-11,12711
2020-08-12,12763
2020-08-13,12798
2020-08-14,12831
2020-08-15,12861
2020-08-16,12875
2020-08-17,12886
2020-08-18,12936
2020-08-19,12952
2020-08-20,12974
2020-08-21,13012
2020-08-22,13047
2020-08-23,13053
2020-08-24,13071
2020-08-25,13096
2020-08-26,13110
2020-08-27,13133
2020-08-28,13160
2020-08-29,13192
2020-08-30,13197
2020-08-31,13230
2020-09-01,13243
2020-09-02,13257
2020-09-03,13310
2020-09-04,13338
2020-09-05,13346
2020-09-06,13354
2020-09-07,13371
2020-09-08,13405
2020-09-09,13435
2020-09-10,13453
2020-09-11,13467
2020-09-12,13484
2020-09-13,13495
2020-09-14,13507
2020-09-15,13532
2020-09-16,13539
2020-09-17,13545
2020-09-18,13557
2020-09-19,13566
2020-09-20,13569
2020-09-21,13595
2020-09-22,13605
2020-09-23,13613
2020-09-24,13631
2020-09-25,13643
2020-09-26,13657
2020-09-27,13665
2020-09-28,13680
2020-09-29,13697
2020-09-30,13712
2020-10-01,13725
2020-10-02,13744
2020-10-03,13755
2020-10-04,13759
2020-10-05,13776
2020-10-06,13791
2020-10-07,13804
2020-10-08,13810
2020-10-09,13823
2020-10-10,13828
2020-10-11,13834
2020-10-12,13838
2020-10-13,13850
2020-10-14,13870
2020-10-15,13929
2020-10-16,13960
2020-10-17,13984
2020-10-18,13990
2020-10-19,14012
2020-10-20,14037
2020-10-21,14066
2020-10-22,14080
2020-10-23,14110
2020-10-24,14147
2020-10-25,14151
2020-10-26,14160
2020-10-27,14167
2020-10-28,14185
2020-10-29,14203
2020-10-30,14212
2020-10-31,14213
