date,cases
2020-07-06,7
2020-07-10,9
2020-07-11,20
2020-07-16,21
2020-07-18,35
2020-07-19,74
2020-07-20,76
2020-07-21,85
2020-07-22,89
2020-07-28,94
2020-07-30,95
2020-08-01,101
2020-08-05,106
2020-08-08,107
2020-08-09,109
2020-08-12,110
2020-08-15,115
2020-08-18,116
2020-08-21,117
2020-08-22,119
2020-08-24,120
2020-08-25,122
2020-08-27,125
2020-08-28,126
2020-09-06,127
2020-09-07,128
2020-09-10,129
2020-09-11,131
2020-09-12,134
2020-09-14,135
2020-09-16,136
2020-09-19,137
2020-09-24,138
2020-10-02,140
2020-10-03,141
2020-10-06,144
2020-10-09,145
2020-10-10,146
2020-10-12,149
2020-10-13,150
2020-10-16,155
2020-10-17,156
2020-10-18,157
2020-10-20,161
2020-10-21,164
2020-10-22,166
2020-10-25,169
2020-10-26,173
2020-10-31,174
2020-11-01,175
2020-11-02,177
2020-11-03,178
2020-11-04,180
2020-11-17,181
2020-11-18,182
2020-11-20,183
2020-11-21,192
2020-11-26,195
2020-11-28,201
2020-11-29,202
2020-11-30,203
2020-12-01,204
2020-12-03,208
2020-12-10,219
2020-12-12,221
2020-12-16,223
2020-12-17,226
2020-12-19,229
2020-12-21,230
2020-12-22,233
2020-12-24,234
2020-12-27,235
2020-12-31,239
2021-01-03,240
