date,cases
2020-06-18,3
2020-06-19,5
2020-06-22,6
2020-06-24,7
2020-06-29,8
2020-07-05,10
2020-07-16,11
2020-07-19,20
2020-07-23,21
2020-07-25,25
2020-07-28,26
2020-07-29,27
2020-08-01,30
2020-08-03,32
2020-08-04,33
2020-08-06,35
2020-08-08,36
2020-08-10,46
2020-08-11,47
2020-08-12,53
2020-08-13,54
2020-08-14,57
2020-08-18,60
2020-08-19,62
2020-08-20,63
2020-08-22,64
2020-08-23,66
2020-08-24,70
2020-08-25,71
2020-08-26,72
2020-08-27,80
2020-08-29,81
2020-08-30,83
2020-08-31,92
2020-09-02,96
2020-09-03,98
2020-09-04,100
2020-09-06,102
2020-09-07,103
2020-09-08,106
2020-09-09,107
2020-09-10,108
2020-09-11,111
2020-09-12,113
2020-09-13,114
2020-09-15,115
2020-09-21,117
2020-09-23,118
2020-09-30,119
2020-10-03,120
2020-10-04,121
2020-10-05,122
2020-10-09,124
2020-10-10,125
2020-10-16,126
2020-10-21,127
2020-10-23,128
2020-10-25,130
2020-10-26,131
2020-10-27,133
2020-10-28,134
2020-10-29,136
2020-11-02,138
2020-11-03,141
2020-11-08,142
2020-11-12,151
2020-11-15,152
2020-11-17,153
2020-11-18,154
2020-11-19,155
2020-11-20,156
2020-11-23,159
2020-11-24,160
2020-11-25,162
2020-11-26,166
2020-11-27,167
2020-11-29,168
2020-11-30,169
2020-12-07,170
2020-12-09,171
2020-12-10,172
2020-12-11,173
2020-12-13,174
2020-12-17,175
2020-12-21,176
2020-12-24,177
2020-12-27,178
