date,cases
2020-05-24,2
2020-05-25,6
2020-06-16,7
2020-06-20,8
2020-07-04,9
2020-07-19,12
2020-07-20,14
2020-08-07,15
2020-08-08,16
2020-08-10,17
2020-09-10,18
2020-09-19,19
2020-09-22,20
2020-09-23,21
2020-09-24,26
2020-09-25,28
2020-10-01,29
2020-10-02,30
2020-10-06,31
2020-10-09,32
2020-10-10,33
2020-10-13,34
2020-10-14,35
2020-10-17,38
2020-10-21,39
2020-10-23,42
2020-10-26,44
2020-10-31,45
2020-11-01,49
2020-11-02,50
2020-11-04,51
2020-11-05,52
2020-11-10,57
2020-11-12,58
2020-11-13,62
2020-11-14,64
2020-11-17,66
2020-11-18,68
2020-11-20,69
2020-11-22,70
2020-11-23,72
2020-11-26,77
2020-11-28,81
2020-11-29,82
2020-12-02,83
2020-12-03,86
2020-12-04,87
2020-12-07,88
2020-12-10,91
2020-12-12,92
2020-12-15,94
2020-12-17,95
2020-12-18,98
2020-12-19,99
2020-12-20,100
2020-12-22,101
2020-12-23,102
2020-12-28,104
2020-12-29,107
2020-12-30,108
2021-01-01,109
2021-01-04,112
