date,cases
2020-05-24,2
2020-05-26,3
2020-06-07,4
2020-06-20,6
2020-06-26,7
2020-07-03,8
2020-07-09,9
2020-07-11,10
2020-07-12,11
2020-07-14,12
2020-07-15,14
2020-07-18,16
2020-07-19,17
2020-07-20,19
2020-07-21,24
2020-07-22,26
2020-07-23,27
2020-07-24,31
2020-07-25,35
2020-07-26,40
2020-07-28,42
2020-08-01,46
2020-08-02,47
2020-08-05,52
2020-08-08,62
2020-08-09,63
2020-08-10,66
2020-08-11,73
2020-08-13,79
2020-08-14,89
2020-08-17,90
2020-08-18,91
2020-08-20,98
2020-08-21,99
2020-08-22,102
2020-08-23,104
2020-08-24,106
2020-08-25,107
2020-08-26,109
2020-08-27,114
2020-08-29,133
2020-08-31,139
2020-09-01,140
2020-09-02,142
2020-09-03,143
2020-09-07,145
2020-09-08,153
2020-09-10,165
2020-09-12,166
2020-09-14,174
2020-09-15,176
2020-09-17,177
2020-09-18,180
2020-09-19,181
2020-09-26,182
2020-09-28,186
2020-10-01,190
2020-10-02,193
2020-10-03,194
2020-10-05,199
2020-10-07,202
2020-10-08,203
2020-10-09,211
2020-10-10,212
2020-10-12,220
2020-10-13,222
2020-10-14,224
2020-10-15,229
2020-10-18,230
2020-10-19,232
2020-10-20,237
2020-10-21,241
2020-10-22,243
2020-10-23,244
2020-10-24,246
2020-10-27,248
2020-10-30,249
