date,cases
2020-07-03,51
2020-07-22,27
2020-07-29,44
2020-08-06,55
2020-08-08,56
2020-08-11,6
2020-08-13,9
2020-08-14,10
2020-08-17,17
2020-08-22,28
2020-08-29,45
2020-08-31,53
2020-09-10,5
2020-09-14,11
2020-09-18,21
2020-09-21,25
2020-09-22,29
2020-09-24,32
2020-09-25,33
2020-09-26,37
2020-09-27,42
2020-09-30,52
2020-10-01,2
2020-10-03,50
2020-10-05,54
2020-10-10,4
2020-10-12,7
2020-10-13,8
2020-10-15,13
2020-10-16,16
2020-10-18,20
2020-10-19,22
2020-10-21,24
2020-10-22,26
2020-10-23,31
2020-10-26,36
2020-10-27,39
2020-10-28,43
