date,cases
2020-04-26,1
2020-04-30,2
2020-05-02,4
2020-05-04,5
2020-05-15,6
2020-06-13,7
2020-06-27,9
2020-06-28,10
2020-06-29,11
2020-06-30,16
2020-07-01,24
2020-07-02,25
2020-07-03,26
2020-07-04,27
2020-07-06,28
2020-07-07,35
2020-07-08,42
2020-07-09,43
2020-07-10,52
2020-07-11,64
2020-07-12,77
2020-07-13,79
2020-07-15,81
2020-07-16,92
2020-07-17,97
2020-07-20,98
2020-07-21,101
2020-07-24,104
2020-07-25,105
2020-07-27,108
2020-07-29,109
2020-07-30,112
2020-07-31,122
2020-08-01,124
2020-08-02,125
2020-08-03,130
2020-08-05,132
2020-08-06,133
2020-08-08,136
2020-08-10,139
2020-08-12,142
2020-08-15,145
2020-08-16,146
2020-08-17,148
2020-08-18,151
2020-08-19,152
2020-08-20,158
2020-08-21,163
2020-08-23,164
2020-08-24,173
2020-08-25,175
2020-08-26,177
2020-08-27,179
2020-08-28,180
2020-08-30,181
2020-08-31,182
2020-09-03,186
2020-09-04,190
2020-09-05,193
2020-09-06,197
2020-09-07,199
2020-09-08,202
2020-09-09,208
2020-09-10,214
2020-09-11,218
2020-09-12,219
2020-09-13,221
2020-09-14,224
2020-09-15,234
2020-09-16,238
2020-09-17,249
2020-09-18,251
2020-09-19,254
2020-09-20,260
2020-09-21,268
2020-09-22,276
2020-09-23,280
2020-09-24,288
2020-09-25,294
2020-09-26,308
2020-09-27,317
2020-09-28,327
2020-09-29,338
2020-09-30,354
2020-10-01,367
2020-10-02,378
2020-10-03,382
2020-10-04,386
2020-10-05,394
2020-10-06,400
2020-10-07,406
2020-10-08,409
2020-10-09,412
2020-10-10,417
2020-10-11,421
2020-10-12,423
2020-10-13,435
2020-10-14,437
2020-10-15,443
2020-10-16,447
2020-10-17,453
2020-10-19,458
2020-10-20,461
2020-10-21,465
2020-10-22,476
2020-10-23,485
2020-10-24,541
2020-10-25,544
2020-10-26,547
2020-10-27,549
2020-10-28,551
2020-10-29,554
2020-10-30,557
2020-11-02,560
2020-11-03,565
2020-11-05,566
2020-11-06,567
2020-11-07,571
2020-11-08,572
2020-11-09,577
2020-11-10,582
2020-11-11,584
2020-11-12,585
2020-11-13,592
2020-11-14,595
2020-11-16,598
2020-11-17,602
2020-11-18,604
2020-11-19,605
2020-11-20,608
2020-11-21,609
2020-11-23,612
2020-11-24,616
2020-11-25,620
2020-11-26,621
2020-11-27,626
2020-11-28,629
2020-11-29,630
2020-11-30,646
2020-12-01,656
2020-12-02,659
2020-12-03,661
2020-12-04,666
2020-12-05,671
2020-12-06,673
2020-12-07,675
2020-12-08,679
2020-12-09,680
2020-12-10,685
2020-12-11,691
2020-12-12,693
2020-12-13,700
2020-12-14,701
2020-12-15,705
2020-12-16,707
2020-12-17,714
2020-12-18,716
2020-12-19,717
2020-12-20,718
2020-12-21,722
2020-12-23,727
2020-12-24,728
2020-12-25,732
2020-12-26,733
2020-12-28,735
2020-12-31,736
