date,cases
2020-04-05,313
2020-04-30,298
2020-05-18,99
2020-05-21,138
2020-06-20,128
2020-06-21,139
2020-06-22,158
2020-06-24,253
2020-06-25,262
2020-06-26,265
2020-06-27,267
2020-06-28,278
2020-07-02,124
2020-07-03,291
2020-07-04,306
2020-07-07,350
2020-07-08,366
2020-07-10,26
2020-07-11,54
2020-07-12,63
2020-07-13,67
2020-07-14,72
2020-07-15,79
2020-07-16,88
2020-07-17,93
2020-07-18,102
2020-07-19,112
2020-07-20,133
2020-07-21,153
2020-07-22,195
2020-07-23,211
2020-07-24,255
2020-07-25,263
2020-07-26,266
2020-07-28,282
2020-07-29,288
2020-07-30,299
2020-08-01,7
2020-08-02,127
2020-08-03,296
2020-08-04,311
2020-08-05,330
2020-08-06,349
2020-08-07,353
2020-08-08,374
2020-08-10,42
2020-08-11,56
2020-08-12,66
2020-08-13,70
2020-08-14,78
2020-08-15,81
2020-08-16,90
2020-08-17,94
2020-08-18,108
2020-08-19,117
2020-08-21,155
2020-08-22,202
2020-08-23,251
2020-08-24,258
2020-08-25,264
2020-08-27,275
2020-08-28,283
2020-08-29,289
2020-08-30,302
2020-08-31,304
2020-09-01,8
2020-09-03,297
2020-09-04,312
2020-09-05,335
2020-09-07,364
2020-09-09,379
2020-09-10,50
2020-09-11,61
2020-09-13,71
2020-09-15,83
2020-09-17,98
2020-09-18,109
2020-09-19,120
2020-09-21,157
2020-09-22,207
2020-09-23,252
2020-09-24,261
2020-09-27,276
2020-09-29,290
2020-09-30,303
2020-10-02,121
2020-10-17,91
