date,cases
2020-06-04,134
2020-06-16,31
2020-06-27,68
2020-06-29,90
2020-07-01,1
2020-07-05,135
2020-07-06,139
2020-07-08,146
2020-07-10,6
2020-07-11,8
2020-07-14,19
2020-07-15,24
2020-07-18,38
2020-07-21,46
2020-07-22,50
2020-07-23,53
2020-07-24,59
2020-07-25,62
2020-07-26,65
2020-07-27,75
2020-07-28,86
2020-07-29,111
2020-07-30,116
2020-07-31,129
2020-08-01,2
2020-08-02,43
2020-08-06,141
2020-08-07,145
2020-08-08,149
2020-08-09,151
2020-08-13,14
2020-08-14,22
2020-08-15,28
2020-08-16,32
2020-08-17,34
2020-08-22,51
2020-08-25,63
2020-08-31,132
2020-09-01,3
2020-09-02,45
2020-09-03,114
2020-09-05,136
2020-09-10,7
2020-09-13,16
2020-09-21,47
2020-09-23,55
2020-09-24,61
2020-09-26,66
2020-09-28,87
2020-10-13,9
2020-10-17,33
2020-10-18,37
2020-10-19,39
2020-10-29,89
