date,cases
2020-07-15,2
2020-07-23,4
2020-07-24,7
2020-07-25,10
2020-07-26,12
2020-07-27,14
2020-07-28,15
2020-07-29,17
2020-07-30,19
2020-07-31,20
2020-08-01,24
2020-08-02,25
2020-08-03,27
2020-08-04,28
2020-08-05,29
2020-08-07,30
2020-08-08,31
2020-08-12,32
2020-08-14,33
2020-08-15,34
2020-08-28,36
2020-09-02,37
2020-09-03,38
2020-09-07,39
2020-09-09,41
2020-09-10,42
2020-09-16,43
2020-09-19,44
2020-10-02,46
2020-10-03,48
2020-10-06,49
2020-10-08,50
2020-10-12,51
2020-10-13,53
2020-10-17,54
2020-10-18,55
2020-10-19,56
2020-10-20,59
2020-10-21,60
2020-10-23,62
2020-10-25,63
2020-10-29,64
2020-11-02,65
2020-11-03,66
2020-11-05,67
2020-11-06,68
2020-11-19,69
