date,cases
2020-03-23,1
2020-03-29,3
2020-06-12,4
2020-07-02,6
2020-07-08,8
2020-07-11,10
2020-08-10,11
2020-08-17,12
2020-08-19,13
2020-08-22,14
2020-08-25,17
2020-08-26,18
2020-08-27,20
2020-09-03,21
2020-09-04,23
2020-09-06,24
2020-09-14,25
2020-09-16,26
2020-09-21,27
2020-09-23,28
2020-09-28,29
2020-09-30,30
2020-10-02,32
2020-10-09,33
2020-10-12,34
2020-10-13,35
2020-10-16,38
2020-10-19,39
2020-10-20,40
2020-10-21,41
2020-10-25,42
2020-10-26,43
2020-10-30,46
2020-11-02,48
2020-11-03,50
2020-11-04,54
2020-11-05,56
2020-11-06,59
2020-11-07,60
2020-11-08,62
2020-11-10,63
2020-11-11,64
2020-11-12,65
2020-11-13,66
2020-11-17,67
2020-11-19,69
2020-11-21,71
2020-11-23,72
2020-11-24,74
2020-11-25,81
2020-11-26,84
2020-11-27,85
2020-11-28,88
2020-11-29,89
2020-11-30,92
2020-12-01,97
2020-12-02,100
2020-12-03,103
2020-12-04,107
2020-12-05,108
2020-12-07,109
2020-12-09,110
2020-12-12,112
2020-12-13,115
2020-12-14,123
2020-12-15,125
2020-12-16,126
2020-12-17,127
2020-12-18,128
2020-12-19,129
2020-12-20,133
2020-12-22,134
2020-12-23,145
