date,cases
2020-05-16,78
2020-05-20,176
2020-05-23,206
2020-05-24,215
2020-05-26,234
2020-06-01,12
2020-06-03,275
2020-06-04,302
2020-06-06,323
2020-06-08,363
2020-06-10,29
2020-06-11,39
2020-06-12,48
2020-06-13,62
2020-06-14,66
2020-06-15,70
2020-06-16,83
2020-06-17,93
2020-06-18,110
2020-06-19,137
2020-06-20,179
2020-06-21,184
2020-06-22,194
2020-06-23,209
2020-06-24,219
2020-06-25,229
2020-06-26,235
2020-06-27,262
2020-06-28,266
2020-06-29,270
2020-06-30,294
2020-07-01,14
2020-07-02,162
2020-07-03,289
2020-07-04,316
2020-07-05,321
2020-07-06,327
2020-07-07,345
2020-07-08,366
2020-07-09,368
2020-07-13,64
2020-07-14,67
2020-07-16,84
2020-07-17,105
2020-07-18,115
2020-07-19,158
2020-07-21,185
2020-07-22,195
2020-07-23,211
2020-07-24,225
2020-07-25,232
2020-07-26,257
2020-07-27,264
2020-07-28,267
2020-07-29,274
2020-07-30,296
2020-07-31,301
2020-08-01,24
2020-08-02,166
2020-08-03,290
2020-08-04,317
2020-08-06,329
2020-08-08,367
2020-08-09,380
2020-08-10,33
2020-08-12,51
2020-08-13,65
2020-08-14,69
2020-08-15,77
2020-08-16,86
2020-08-18,117
2020-08-20,180
2020-08-21,188
2020-08-22,202
2020-08-24,226
2020-08-26,261
2020-09-01,27
2020-09-02,170
2020-09-12,52
2020-09-22,205
2020-09-23,213
2020-09-27,265
2020-10-01,11
2020-10-02,160
2020-10-08,346
2020-10-13,58
2020-10-17,89
2020-10-19,118
2020-10-20,175
2020-10-21,183
