date,cases
2020-03-24,1088
2020-03-28,1292
2020-03-31,1608
2020-04-01,1
2020-04-04,1632
2020-04-12,162
2020-04-13,277
2020-04-14,362
2020-04-15,453
2020-04-16,506
2020-04-17,575
2020-04-18,662
2020-04-20,883
2020-04-21,944
2020-04-22,979
2020-04-23,1034
2020-04-24,1106
2020-04-25,1160
2020-04-26,1193
2020-04-27,1247
2020-04-28,1311
2020-04-29,1346
2020-04-30,1490
2020-05-01,9
2020-05-02,785
2020-05-03,1387
2020-05-04,1646
2020-05-05,1691
2020-05-06,1756
2020-05-07,1809
2020-05-08,1855
2020-05-09,1915
2020-05-10,61
2020-05-11,134
2020-05-12,195
2020-05-13,337
2020-05-14,437
2020-05-15,492
2020-05-16,537
2020-05-17,636
2020-05-18,695
2020-05-19,748
2020-05-20,922
2020-05-21,963
2020-05-22,1012
2020-05-23,1053
2020-05-24,1133
2020-05-25,1172
2020-05-26,1219
2020-05-27,1262
2020-05-28,1319
2020-05-29,1357
2020-05-30,1574
2020-06-01,19
2020-06-02,860
2020-06-03,1458
2020-06-04,1664
2020-06-05,1703
2020-06-06,1764
2020-06-07,1811
2020-06-08,1867
2020-06-09,1929
2020-06-10,72
2020-06-11,141
2020-06-12,266
2020-06-13,346
2020-06-14,441
2020-06-15,497
2020-06-16,566
2020-06-17,650
2020-06-18,703
2020-06-19,760
2020-06-20,930
2020-06-21,967
2020-06-22,1017
2020-06-23,1074
2020-06-24,1150
2020-06-25,1180
2020-06-26,1223
2020-06-27,1273
2020-06-28,1324
2020-06-29,1364
2020-06-30,1594
2020-07-01,26
2020-07-02,867
2020-07-03,1471
2020-07-04,1665
2020-07-05,1707
2020-07-06,1773
2020-07-07,1821
2020-07-08,1872
2020-07-09,1936
2020-07-10,90
2020-07-11,156
2020-07-12,272
2020-07-13,359
2020-07-14,442
2020-07-15,502
2020-07-16,569
2020-07-17,654
2020-07-20,932
2020-07-21,970
2020-07-22,1024
2020-07-23,1085
2020-07-24,1158
2020-07-25,1182
2020-07-26,1228
2020-07-27,1279
2020-07-28,1331
2020-07-29,1372
2020-07-30,1604
2020-07-31,1615
2020-08-01,30
2020-08-02,868
2020-08-03,1474
2020-08-04,1667
2020-08-05,1713
2020-08-06,1780
2020-08-07,1823
2020-08-08,1875
2020-08-10,93
2020-08-11,159
2020-08-12,275
2020-08-13,360
2020-08-14,446
2020-08-15,503
2020-08-16,570
2020-08-17,657
2020-08-18,711
2020-08-19,764
2020-08-20,941
2020-08-21,971
2020-08-22,1028
2020-08-25,1184
2020-08-27,1290
2020-08-28,1332
2020-08-29,1375
2020-08-31,1631
2020-09-01,31
2020-09-02,877
2020-09-03,1476
2020-09-04,1668
2020-09-05,1716
2020-09-06,1781
2020-09-07,1827
2020-09-08,1878
2020-09-09,1939
2020-09-10,96
2020-09-11,161
2020-09-14,449
2020-09-15,504
2020-09-16,571
2020-09-17,658
2020-09-18,713
2020-09-19,766
2020-09-21,973
2020-09-22,1031
2020-09-23,1087
2020-09-25,1185
2020-09-26,1230
2020-09-27,1291
2020-09-28,1333
2020-09-29,1377
2020-09-30,1606
2020-10-05,1670
2020-10-06,1720
2020-10-07,1783
2020-10-08,1829
2020-10-09,1879
2020-10-10,32
2020-10-15,451
2020-10-17,572
2020-10-18,659
2020-10-19,717
2020-10-20,878
2020-10-23,1032
2020-10-29,1334
