date,cases
2020-03-23,494
2020-03-28,673
2020-03-30,761
2020-04-10,33
2020-04-11,49
2020-04-17,261
2020-04-21,424
2020-04-22,465
2020-04-24,534
2020-04-26,622
2020-04-27,656
2020-04-30,763
2020-05-04,805
2020-05-06,861
2020-05-08,936
2020-05-09,965
2020-05-10,35
2020-05-11,52
2020-05-12,82
2020-05-13,118
2020-05-14,169
2020-05-15,199
2020-05-16,232
2020-05-18,288
2020-05-19,327
2020-05-20,384
2020-05-21,428
2020-05-22,466
2020-05-23,495
2020-05-24,536
2020-05-25,578
2020-05-26,626
2020-05-27,659
2020-05-28,680
2020-05-29,699
2020-05-30,765
2020-05-31,795
2020-06-01,4
2020-06-02,355
2020-06-03,728
2020-06-04,807
2020-06-05,844
2020-06-06,862
2020-06-07,914
2020-06-08,938
2020-06-09,972
2020-06-10,39
2020-06-11,57
2020-06-12,95
2020-06-13,123
2020-06-14,172
2020-06-15,202
2020-06-16,240
2020-06-17,271
2020-06-18,299
2020-06-19,341
2020-06-20,396
2020-06-21,439
2020-06-22,467
2020-06-23,514
2020-06-24,558
2020-06-25,598
2020-06-26,642
2020-06-27,664
2020-06-29,703
2020-06-30,783
2020-07-01,18
2020-07-02,369
2020-07-03,743
2020-07-04,823
2020-07-05,848
2020-07-06,880
2020-07-07,929
2020-07-08,952
2020-07-09,980
2020-07-10,47
2020-07-11,77
2020-07-12,102
2020-07-13,142
2020-07-14,181
2020-07-15,214
2020-07-16,253
2020-07-17,281
2020-07-18,306
2020-07-19,348
2020-07-20,416
2020-07-21,456
2020-07-22,485
2020-07-23,527
2020-07-24,568
2020-07-25,611
2020-07-26,646
2020-07-27,669
2020-07-28,687
2020-07-29,711
2020-07-30,790
2020-07-31,802
2020-08-01,24
2020-08-02,373
2020-08-03,747
2020-08-04,830
2020-08-05,856
2020-08-06,904
2020-08-07,932
2020-08-08,958
2020-08-10,48
2020-08-12,112
2020-08-13,157
2020-08-14,187
2020-08-15,223
2020-08-16,255
2020-08-17,283
2020-08-18,312
2020-08-19,350
2020-08-20,421
2020-08-21,457
2020-08-22,487
2020-08-23,531
2020-08-24,570
2020-08-25,615
2020-08-26,649
2020-08-27,672
2020-08-28,689
2020-08-29,721
2020-08-31,804
2020-09-01,30
2020-09-02,375
2020-09-03,756
2020-09-04,834
2020-09-05,858
2020-09-06,905
2020-09-07,933
2020-09-08,961
2020-09-09,983
2020-09-12,113
2020-09-13,158
2020-09-14,191
2020-09-16,256
2020-09-18,317
2020-09-21,460
2020-09-22,491
2020-09-23,532
2020-09-25,617
2020-09-26,653
2020-09-28,692
2020-09-29,722
2020-09-30,791
2020-10-01,2
2020-10-02,351
2020-10-03,723
2020-10-05,839
2020-10-06,859
2020-10-07,907
2020-10-09,964
2020-10-10,32
2020-10-12,79
2020-10-13,115
2020-10-14,163
2020-10-15,194
2020-10-16,228
2020-10-17,260
2020-10-18,284
2020-10-19,320
2020-10-20,382
2020-10-21,423
2020-10-22,464
2020-10-23,493
2020-10-24,533
2020-10-26,621
2020-10-27,654
2020-10-29,693
2020-10-30,757
