date,cases
2020-06-20,2
2020-06-30,10
2020-07-17,11
2020-07-21,28
2020-07-24,30
2020-08-11,31
2020-08-15,32
2020-08-16,33
2020-08-19,34
2020-08-23,36
2020-09-04,37
2020-09-11,38
2020-09-13,39
2020-09-17,41
2020-09-22,45
2020-09-24,46
2020-10-06,47
2020-10-11,48
2020-10-15,49
2020-10-20,50
2020-10-22,54
2020-11-03,55
2020-11-04,57
2020-11-08,58
2020-11-09,61
2020-11-14,63
2020-11-23,65
2020-11-26,66
2020-11-28,67
2020-11-29,68
2020-11-30,69
2020-12-04,70
2020-12-05,81
2020-12-06,82
2020-12-11,83
2020-12-23,87
2020-12-24,89
2020-12-29,90
