date,cases
2020-05-26,1
2020-05-29,2
2020-06-05,3
2020-06-10,5
2020-06-14,6
2020-06-15,12
2020-06-16,16
2020-06-17,18
2020-06-18,20
2020-06-19,23
2020-06-21,24
2020-06-22,25
2020-06-23,29
2020-06-24,31
2020-06-25,35
2020-06-26,37
2020-06-27,38
2020-06-28,39
2020-06-29,40
2020-06-30,47
2020-07-01,53
2020-07-04,58
2020-07-06,59
2020-07-07,63
2020-07-08,64
2020-07-09,66
2020-07-10,69
2020-07-11,70
2020-07-12,71
2020-07-13,72
2020-07-14,73
2020-07-15,76
2020-07-16,77
2020-07-17,78
2020-07-19,79
2020-07-20,82
2020-07-21,84
2020-07-23,85
2020-07-25,86
2020-07-26,89
2020-07-27,93
2020-07-28,100
2020-07-29,107
2020-07-30,112
2020-07-31,115
2020-08-01,120
2020-08-02,121
2020-08-03,124
2020-08-04,127
2020-08-05,132
2020-08-07,139
2020-08-08,144
2020-08-09,146
2020-08-10,151
2020-08-11,154
2020-08-12,158
2020-08-13,165
2020-08-14,169
2020-08-15,175
2020-08-16,176
2020-08-17,179
2020-08-18,190
2020-08-19,202
2020-08-20,210
2020-08-21,213
2020-08-23,215
2020-08-24,223
2020-08-25,236
2020-08-26,240
2020-08-27,245
2020-08-28,249
2020-08-29,254
2020-08-30,255
2020-08-31,263
2020-09-01,264
2020-09-02,265
2020-09-03,266
2020-09-04,268
2020-09-05,272
2020-09-06,278
2020-09-07,280
2020-09-08,282
2020-09-09,286
2020-09-10,288
2020-09-11,294
2020-09-12,297
2020-09-13,298
2020-09-14,306
2020-09-15,308
2020-09-16,310
2020-09-19,314
2020-09-21,316
2020-09-22,319
2020-09-23,321
2020-09-24,322
2020-09-25,329
2020-09-26,331
2020-09-27,333
2020-09-28,335
2020-09-29,338
2020-10-01,342
2020-10-02,344
2020-10-04,350
2020-10-05,352
2020-10-06,354
2020-10-07,355
2020-10-08,356
2020-10-09,357
2020-10-10,358
2020-10-11,359
2020-10-12,362
2020-10-13,363
2020-10-14,370
2020-10-16,371
2020-10-19,374
2020-10-20,376
2020-10-22,377
2020-10-26,378
2020-10-28,379
2020-10-29,380
