date,cases
2020-06-04,1
2020-06-09,2
2020-06-11,4
2020-06-12,5
2020-06-15,6
2020-06-23,7
2020-06-24,9
2020-06-25,10
2020-06-27,12
2020-06-29,13
2020-06-30,18
2020-07-01,20
2020-07-02,24
2020-07-05,25
2020-07-06,28
2020-07-07,33
2020-07-08,34
2020-07-12,37
2020-07-14,38
2020-07-16,41
2020-07-17,42
2020-07-21,43
2020-07-22,45
2020-07-23,49
2020-07-26,50
2020-07-27,51
2020-07-29,61
2020-07-30,62
2020-07-31,63
2020-08-01,68
2020-08-03,72
2020-08-05,73
2020-08-07,74
2020-08-08,75
2020-08-13,76
2020-08-14,77
2020-08-15,78
2020-08-19,79
2020-08-21,80
2020-08-22,81
2020-08-24,83
2020-08-25,84
2020-08-26,85
2020-08-27,87
2020-09-03,88
2020-09-05,90
2020-09-06,91
2020-09-17,92
2020-09-18,93
2020-09-22,107
2020-10-01,108
2020-10-07,109
2020-10-08,110
2020-10-26,112
2020-10-27,113
2020-10-30,114
2020-11-03,115
2020-11-04,117
2020-11-05,118
2020-11-06,119
2020-11-10,120
2020-11-13,127
2020-11-20,128
2020-11-23,129
