date,cases
2020-03-19,1
2020-03-21,2
2020-03-24,4
2020-03-25,7
2020-03-26,12
2020-03-27,13
2020-03-28,15
2020-03-30,17
2020-03-31,18
2020-04-01,21
2020-04-02,26
2020-04-03,28
2020-04-09,29
2020-04-11,30
2020-04-13,31
2020-04-14,32
2020-04-17,35
2020-04-18,37
2020-04-20,38
2020-04-21,39
2020-04-22,40
2020-04-24,42
2020-04-29,44
2020-05-01,45
2020-05-11,48
2020-05-13,49
2020-05-15,51
2020-05-17,52
2020-05-19,54
2020-05-20,58
2020-05-21,82
2020-05-22,98
2020-05-23,136
2020-05-24,139
2020-05-25,143
2020-05-26,213
2020-05-27,251
2020-05-28,292
2020-05-29,306
2020-05-30,314
2020-05-31,340
2020-06-01,363
2020-06-02,377
2020-06-03,389
2020-06-04,398
2020-06-05,423
2020-06-06,451
2020-06-07,455
2020-06-08,467
2020-06-09,479
2020-06-10,501
2020-06-11,513
2020-06-12,528
2020-06-13,542
2020-06-14,547
2020-06-15,552
2020-06-16,589
2020-06-17,603
2020-06-18,614
2020-06-19,626
2020-06-20,634
2020-06-21,645
2020-06-22,654
2020-06-23,670
2020-06-24,691
2020-06-25,714
2020-06-26,738
2020-06-27,757
2020-06-28,795
2020-06-29,801
2020-06-30,822
2020-07-01,864
2020-07-02,889
2020-07-03,916
2020-07-04,943
2020-07-05,954
2020-07-06,978
2020-07-07,1025
2020-07-08,1050
2020-07-09,1065
2020-07-10,1128
2020-07-11,1204
2020-07-12,1219
2020-07-13,1378
2020-07-14,1526
2020-07-15,1601
2020-07-16,1687
2020-07-17,1741
2020-07-18,1803
2020-07-19,1818
2020-07-20,1870
2020-07-21,1986
2020-07-22,2105
2020-07-23,2251
2020-07-24,2337
2020-07-25,2432
2020-07-26,2523
2020-07-27,2626
2020-07-28,2780
2020-07-29,2883
2020-07-30,3059
2020-07-31,3170
2020-08-01,3344
2020-08-02,3400
2020-08-03,3541
2020-08-04,3768
2020-08-05,3899
2020-08-06,4064
2020-08-07,4216
2020-08-08,4434
2020-08-09,4519
2020-08-10,4745
2020-08-11,4929
2020-08-12,5096
2020-08-13,5382
2020-08-14,5650
2020-08-15,5951
2020-08-16,6266
2020-08-17,6442
2020-08-18,6805
2020-08-19,7007
2020-08-20,7316
2020-08-21,7611
2020-08-22,7896
2020-08-23,8017
2020-08-24,8508
2020-08-25,8788
2020-08-26,8957
2020-08-27,9324
2020-08-28,9497
2020-08-29,9770
2020-08-30,9951
2020-08-31,10188
2020-09-01,10404
2020-09-02,10534
2020-09-03,10786
2020-09-04,11023
2020-09-05,11191
2020-09-06,11246
2020-09-07,11478
2020-09-08,11649
2020-09-09,11801
2020-09-10,11931
2020-09-11,12195
2020-09-12,12445
2020-09-13,12609
2020-09-14,12830
2020-09-15,13026
2020-09-16,13205
2020-09-17,13366
2020-09-18,13505
2020-09-19,13594
2020-09-20,13668
2020-09-21,13813
2020-09-22,13973
2020-09-23,14100
2020-09-24,14252
2020-09-25,14390
2020-09-26,14506
2020-09-27,14562
2020-09-28,14668
2020-09-29,14838
2020-09-30,14929
2020-10-01,15039
2020-10-02,15134
2020-10-03,15249
2020-10-04,15308
2020-10-05,15411
2020-10-06,15529
2020-10-07,15604
2020-10-08,15690
2020-10-09,15746
2020-10-10,15841
2020-10-11,15873
2020-10-12,15902
2020-10-13,15997
2020-10-14,16140
2020-10-15,16263
2020-10-16,16373
2020-10-17,16440
2020-10-18,16470
2020-10-19,16583
2020-10-20,16735
2020-10-21,16818
2020-10-22,16925
2020-10-23,17040
2020-10-24,17116
2020-10-25,17180
2020-10-26,17354
2020-10-27,17435
2020-10-28,17500
2020-10-29,17578
2020-10-30,17663
2020-10-31,17702
2020-11-01,17764
2020-11-02,17806
2020-11-03,17851
2020-11-04,17899
2020-11-05,17957
2020-11-06,18005
2020-11-07,18052
2020-11-08,18085
2020-11-09,18194
2020-11-10,18237
2020-11-11,18307
2020-11-12,18368
2020-11-13,18415
2020-11-14,18457
2020-11-15,18466
2020-11-16,18475
2020-11-17,18542
2020-11-18,18616
2020-11-19,18677
2020-11-20,18736
2020-11-21,18773
2020-11-22,18784
2020-11-23,18818
2020-11-24,18837
2020-11-25,18851
2020-11-26,18862
2020-11-28,18863
