date,cases
2020-07-12,1
2020-07-28,2
2020-08-04,3
2020-08-10,4
2020-08-14,11
2020-08-17,12
2020-08-18,13
2020-08-23,14
2020-08-24,17
2020-08-25,18
2020-08-29,20
2020-09-01,21
2020-09-07,22
2020-09-09,24
2020-09-10,25
2020-09-11,26
2020-09-14,27
2020-09-15,28
2020-09-17,29
2020-09-22,35
2020-09-23,37
2020-09-24,38
2020-09-25,41
2020-09-26,43
2020-09-27,44
2020-09-29,45
2020-10-05,46
2020-10-08,49
2020-10-11,50
2020-10-12,51
2020-10-14,54
2020-10-19,58
2020-10-20,59
2020-10-21,60
2020-10-22,62
2020-10-23,74
2020-10-24,78
2020-10-26,79
2020-10-27,80
2020-10-29,82
2020-10-30,90
2020-11-01,91
2020-11-03,109
2020-11-04,110
2020-11-06,111
2020-11-07,117
2020-11-08,125
2020-11-09,129
2020-11-10,138
2020-11-11,139
2020-11-12,140
2020-11-13,142
2020-11-14,167
2020-11-17,186
2020-11-18,187
2020-11-19,188
2020-11-20,189
2020-11-23,192
2020-11-24,194
2020-11-25,199
2020-11-26,200
2020-11-27,204
2020-11-28,206
2020-11-29,208
2020-11-30,209
2020-12-01,211
2020-12-02,214
2020-12-03,216
2020-12-04,220
2020-12-06,221
2020-12-07,225
2020-12-09,227
2020-12-10,239
2020-12-11,240
2020-12-12,246
2020-12-13,248
2020-12-14,249
2020-12-16,253
2020-12-17,255
2020-12-18,262
2020-12-19,264
2020-12-20,265
2020-12-21,267
2020-12-22,268
