date,cases
2020-07-22,1
2020-07-24,2
2020-07-25,3
2020-07-27,4
2020-07-31,5
2020-08-02,6
2020-08-04,8
2020-08-09,9
2020-08-12,10
2020-08-15,11
2020-08-16,12
2020-08-20,13
2020-08-26,14
2020-08-31,15
2020-09-04,16
2020-09-09,17
2020-09-12,19
2020-09-14,20
2020-09-15,24
2020-09-16,26
2020-09-19,28
2020-09-20,30
2020-09-21,32
2020-09-26,33
2020-09-27,35
2020-09-28,36
2020-09-29,38
2020-09-30,40
2020-10-01,41
2020-10-02,44
2020-10-03,47
2020-10-04,49
2020-10-05,55
2020-10-06,56
2020-10-07,57
2020-10-10,58
2020-10-12,60
2020-10-14,63
2020-10-15,65
2020-10-18,66
2020-10-19,68
2020-10-20,72
2020-10-21,73
2020-10-22,74
2020-10-24,76
2020-10-25,78
2020-10-28,79
2020-11-02,80
2020-11-05,81
2020-11-09,83
2020-11-12,84
2020-11-13,86
2020-11-15,87
2020-11-16,89
2020-11-17,90
2020-11-19,91
2020-11-21,92
2020-11-26,100
2020-11-27,105
2020-11-30,106
2020-12-01,107
2020-12-02,109
2020-12-03,110
2020-12-05,112
2020-12-07,116
2020-12-08,119
2020-12-09,122
2020-12-10,126
2020-12-11,129
2020-12-12,131
2020-12-13,133
2020-12-14,139
2020-12-15,140
2020-12-16,141
2020-12-17,142
2020-12-18,144
2020-12-20,145
2020-12-23,146
