date,cases
2020-05-01,3
2020-05-06,4
2020-07-24,11
2020-07-25,13
2020-07-28,15
2020-07-29,16
2020-07-31,17
2020-08-02,18
2020-08-03,22
2020-08-05,23
2020-08-06,28
2020-08-07,29
2020-08-08,30
2020-08-09,34
2020-08-10,36
2020-08-12,37
2020-08-18,39
2020-08-20,40
2020-08-21,41
2020-08-22,44
2020-08-24,50
2020-08-27,51
2020-08-28,52
2020-09-01,53
2020-09-03,55
2020-09-05,56
2020-09-11,57
2020-09-12,58
2020-09-14,60
2020-09-17,61
2020-09-22,62
2020-09-25,63
2020-09-26,64
2020-09-28,65
2020-10-01,66
2020-10-02,67
2020-10-03,68
2020-10-06,69
2020-10-09,71
2020-10-10,75
2020-10-11,76
2020-10-12,77
2020-10-14,78
2020-10-16,79
2020-10-17,80
2020-10-21,81
2020-10-22,82
2020-10-24,83
2020-10-27,85
2020-10-30,90
2020-11-02,91
2020-11-03,96
2020-11-04,97
2020-11-05,101
2020-11-06,102
2020-11-08,104
2020-11-09,109
2020-11-10,111
2020-11-12,116
2020-11-13,117
2020-11-14,120
2020-11-16,122
2020-11-17,124
2020-11-19,126
2020-11-20,131
2020-11-21,132
2020-11-22,133
2020-11-23,136
2020-11-24,137
2020-11-26,138
2020-11-28,140
2020-11-30,144
2020-12-01,145
2020-12-02,146
2020-12-03,147
2020-12-04,151
2020-12-07,153
2020-12-08,154
2020-12-09,156
2020-12-10,158
2020-12-11,159
2020-12-12,160
2020-12-14,165
2020-12-15,167
