date,cases
2020-03-18,1
2020-03-29,2
2020-04-12,3
2020-04-26,4
2020-05-03,5
2020-05-21,6
2020-05-26,7
2020-06-03,8
2020-06-04,9
2020-06-06,10
2020-06-08,11
2020-06-10,13
2020-06-14,14
2020-06-16,15
2020-06-17,16
2020-06-18,20
2020-06-19,21
2020-06-24,23
2020-06-25,24
2020-06-26,26
2020-06-27,29
2020-06-29,30
2020-06-30,36
2020-07-01,39
2020-07-02,42
2020-07-03,46
2020-07-04,48
2020-07-05,50
2020-07-06,57
2020-07-07,59
2020-07-08,72
2020-07-09,81
2020-07-10,88
2020-07-11,95
2020-07-12,102
2020-07-13,111
2020-07-14,117
2020-07-15,123
2020-07-16,131
2020-07-17,143
2020-07-18,153
2020-07-19,162
2020-07-20,173
2020-07-21,181
2020-07-22,199
2020-07-23,214
2020-07-24,229
2020-07-25,241
2020-07-26,246
2020-07-27,271
2020-07-28,293
2020-07-29,311
2020-07-30,328
2020-07-31,352
2020-08-01,381
2020-08-02,393
2020-08-03,423
2020-08-04,450
2020-08-05,466
2020-08-06,481
2020-08-07,497
2020-08-08,514
2020-08-09,523
2020-08-10,549
2020-08-11,582
2020-08-12,592
2020-08-13,608
2020-08-14,624
2020-08-15,640
2020-08-16,653
2020-08-17,664
2020-08-18,687
2020-08-19,712
2020-08-20,716
2020-08-21,739
2020-08-22,751
2020-08-23,781
2020-08-24,839
2020-08-25,852
2020-08-26,865
2020-08-27,884
2020-08-28,900
2020-08-29,911
2020-08-30,918
2020-08-31,934
2020-09-01,954
2020-09-02,966
2020-09-03,978
2020-09-04,990
2020-09-05,999
2020-09-06,1001
2020-09-07,1010
2020-09-08,1018
2020-09-09,1024
2020-09-10,1040
2020-09-11,1050
2020-09-12,1059
2020-09-13,1065
2020-09-14,1073
2020-09-15,1088
2020-09-16,1098
2020-09-17,1110
2020-09-18,1119
2020-09-19,1125
2020-09-20,1133
2020-09-21,1147
2020-09-22,1163
2020-09-23,1177
2020-09-24,1184
2020-09-25,1189
2020-09-26,1194
2020-09-27,1196
2020-09-28,1211
2020-09-29,1218
2020-09-30,1231
2020-10-01,1238
2020-10-02,1249
2020-10-03,1257
2020-10-04,1265
2020-10-05,1284
2020-10-06,1296
2020-10-07,1307
2020-10-08,1319
2020-10-09,1329
2020-10-10,1337
2020-10-11,1343
2020-10-12,1348
2020-10-13,1361
2020-10-14,1365
2020-10-15,1378
2020-10-16,1389
2020-10-17,1399
2020-10-18,1407
2020-10-19,1422
2020-10-20,1432
2020-10-21,1449
2020-10-22,1461
2020-10-23,1473
2020-10-24,1486
2020-10-25,1493
2020-10-26,1510
2020-10-27,1526
2020-10-28,1535
2020-10-29,1544
2020-10-30,1548
2020-10-31,1555
2020-11-01,1566
2020-11-02,1572
2020-11-03,1592
2020-11-04,1599
2020-11-05,1609
2020-11-06,1629
2020-11-07,1638
2020-11-08,1650
2020-11-09,1685
2020-11-10,1701
2020-11-11,1711
2020-11-12,1723
2020-11-13,1730
2020-11-14,1735
2020-11-15,1742
2020-11-16,1749
2020-11-17,1758
2020-11-18,1765
2020-11-19,1776
2020-11-20,1794
2020-11-21,1803
2020-11-22,1809
2020-11-23,1815
2020-11-24,1816
