date,cases
2020-07-02,1
2020-07-05,6
2020-07-06,9
2020-07-07,18
2020-07-08,20
2020-07-09,23
2020-07-10,29
2020-07-11,30
2020-07-12,31
2020-07-13,36
2020-07-15,43
2020-07-16,47
2020-07-17,49
2020-07-19,51
2020-07-20,53
2020-07-21,59
2020-07-22,61
2020-07-23,73
2020-07-24,103
2020-07-25,108
2020-07-26,111
2020-07-27,115
2020-07-28,119
2020-07-29,122
2020-07-30,128
2020-07-31,145
2020-08-01,149
2020-08-02,153
2020-08-03,161
2020-08-04,179
2020-08-05,194
2020-08-06,197
2020-08-07,207
2020-08-08,208
2020-08-09,217
2020-08-10,221
2020-08-11,223
2020-08-12,239
2020-08-13,260
2020-08-14,279
2020-08-15,283
2020-08-16,298
2020-08-18,308
2020-08-19,310
2020-08-20,312
2020-08-21,319
2020-08-22,322
2020-08-23,330
2020-08-24,335
2020-08-25,343
2020-08-26,348
2020-08-27,352
2020-08-28,353
2020-08-30,357
2020-08-31,360
2020-09-01,363
2020-09-02,365
2020-09-03,366
2020-09-04,370
2020-09-05,384
2020-09-06,386
2020-09-07,392
2020-09-08,394
2020-09-09,399
2020-09-10,405
2020-09-11,408
2020-09-12,409
2020-09-14,416
2020-09-15,421
2020-09-16,424
2020-09-17,426
2020-09-18,428
2020-09-19,431
2020-09-20,432
2020-09-21,440
2020-09-22,443
2020-09-23,449
2020-09-24,454
2020-09-25,457
2020-09-26,462
2020-09-27,464
2020-09-28,465
2020-09-29,471
2020-09-30,472
2020-10-03,473
2020-10-04,476
2020-10-05,479
2020-10-06,481
2020-10-10,482
2020-10-13,485
2020-10-14,487
2020-10-15,491
2020-10-16,492
2020-10-17,494
2020-10-20,512
2020-10-21,514
2020-10-22,515
2020-10-23,517
2020-10-28,519
2020-10-29,520
2020-10-30,521
2020-11-02,522
