date,cases
2020-03-21,325
2020-03-28,484
2020-04-01,10
2020-04-28,486
2020-05-12,54
2020-05-21,326
2020-05-28,487
2020-05-29,519
2020-06-02,244
2020-06-06,614
2020-06-13,76
2020-06-20,292
2020-07-02,245
2020-07-06,616
2020-07-07,632
2020-07-08,649
2020-07-11,37
2020-07-14,97
2020-07-15,121
2020-07-16,144
2020-07-17,169
2020-07-18,192
2020-07-19,228
2020-07-20,293
2020-07-21,327
2020-07-23,382
2020-07-24,408
2020-07-27,464
2020-07-28,493
2020-07-29,520
2020-07-30,543
2020-07-31,557
2020-08-01,12
2020-08-03,535
2020-08-04,572
2020-08-05,595
2020-08-06,617
2020-08-08,652
2020-08-09,678
2020-08-10,22
2020-08-11,39
2020-08-12,56
2020-08-13,81
2020-08-15,124
2020-08-16,149
2020-08-18,196
2020-08-19,229
2020-08-20,294
2020-08-21,329
2020-08-23,388
2020-08-24,411
2020-08-25,421
2020-08-26,441
2020-08-27,467
2020-08-28,501
2020-08-29,523
2020-08-30,545
2020-08-31,563
2020-09-01,14
2020-09-02,248
2020-09-03,540
2020-09-04,580
2020-09-05,596
2020-09-07,636
2020-09-08,663
2020-09-09,682
2020-09-10,29
2020-09-11,45
2020-09-12,60
2020-09-13,82
2020-09-14,106
2020-09-15,129
2020-09-16,153
2020-09-17,174
2020-09-18,202
2020-09-19,233
2020-09-20,297
2020-09-21,335
2020-09-22,362
2020-09-23,392
2020-09-24,413
2020-09-25,427
2020-09-26,448
2020-09-27,471
2020-09-28,507
2020-09-29,526
2020-09-30,548
2020-10-01,9
2020-10-02,243
2020-10-03,532
2020-10-04,571
2020-10-05,593
2020-10-06,613
2020-10-07,631
2020-10-08,647
2020-10-09,672
2020-10-10,19
2020-10-11,36
2020-10-12,53
2020-10-13,75
2020-10-14,96
2020-10-15,120
2020-10-16,140
2020-10-17,165
2020-10-18,190
2020-10-19,227
2020-10-20,291
2020-10-21,324
2020-10-22,354
2020-10-23,380
2020-10-24,407
2020-10-25,420
2020-10-26,438
2020-10-27,463
2020-10-28,483
2020-10-29,517
2020-10-30,542
2020-10-31,552
