date,cases
2020-05-05,748
2020-05-06,761
2020-05-08,809
2020-05-10,42
2020-05-11,57
2020-05-13,114
2020-05-14,150
2020-05-15,179
2020-05-17,237
2020-05-18,254
2020-05-19,283
2020-05-20,343
2020-05-21,405
2020-05-24,478
2020-05-26,544
2020-05-28,602
2020-05-31,713
2020-06-01,10
2020-06-02,324
2020-06-04,729
2020-06-08,810
2020-06-09,853
2020-06-10,44
2020-06-11,58
2020-06-13,117
2020-06-16,205
2020-06-17,243
2020-06-18,255
2020-06-19,286
2020-06-20,344
2020-06-21,406
2020-06-23,456
2020-06-24,480
2020-06-25,509
2020-06-30,696
2020-07-01,12
2020-07-02,325
2020-07-03,661
2020-07-05,749
2020-07-06,762
2020-07-07,782
2020-07-08,812
2020-07-09,859
2020-07-10,46
2020-07-12,79
2020-07-13,121
2020-07-14,152
2020-07-15,184
2020-07-16,207
2020-07-17,247
2020-07-18,259
2020-07-19,290
2020-07-20,347
2020-07-21,410
2020-07-22,430
2020-07-23,461
2020-07-24,481
2020-07-25,510
2020-07-26,545
2020-07-27,578
2020-07-29,626
2020-07-30,700
2020-08-01,14
2020-08-02,327
2020-08-03,665
2020-08-06,763
2020-08-07,785
2020-08-08,814
2020-08-09,860
2020-08-11,60
2020-08-12,87
2020-08-13,124
2020-08-14,160
2020-08-15,187
2020-08-16,211
2020-08-18,261
2020-08-19,295
2020-08-20,352
2020-08-21,413
2020-08-22,435
2020-08-23,464
2020-08-24,492
2020-08-25,523
2020-08-26,551
2020-08-27,589
2020-08-28,609
2020-08-29,634
2020-08-30,706
2020-08-31,719
2020-09-01,27
2020-09-02,333
2020-09-03,692
2020-09-04,737
2020-09-05,754
2020-09-06,768
2020-09-07,800
2020-09-08,833
2020-09-09,866
2020-09-10,54
2020-09-11,70
2020-09-12,101
2020-09-13,136
2020-09-14,170
2020-09-15,191
2020-09-16,225
2020-09-17,252
2020-09-18,267
2020-09-19,302
2020-09-20,363
2020-09-21,422
2020-09-22,442
2020-09-23,471
2020-09-24,506
2020-09-25,539
2020-09-26,554
2020-09-27,592
2020-09-28,619
2020-09-29,651
2020-09-30,712
2020-10-01,9
2020-10-02,323
2020-10-03,659
2020-10-04,723
2020-10-05,747
2020-10-06,760
2020-10-07,777
2020-10-08,808
2020-10-09,852
2020-10-10,40
2020-10-11,56
2020-10-12,75
2020-10-13,113
2020-10-14,145
2020-10-15,177
2020-10-16,200
2020-10-17,236
2020-10-18,253
2020-10-19,282
2020-10-20,340
2020-10-21,404
2020-10-22,428
2020-10-23,455
2020-10-24,476
2020-10-25,507
2020-10-26,543
2020-10-27,561
2020-10-28,598
2020-10-29,621
2020-10-30,693
