date,cases
2020-05-27,123
2020-06-10,13
2020-06-12,20
2020-06-14,25
2020-06-15,31
2020-06-16,34
2020-06-18,49
2020-06-19,56
2020-06-20,61
2020-06-22,72
2020-06-23,79
2020-06-24,94
2020-06-25,98
2020-06-26,121
2020-06-27,125
2020-06-28,128
2020-06-29,138
2020-07-01,9
2020-07-03,141
2020-07-04,149
2020-07-07,160
2020-07-08,166
2020-07-09,175
2020-07-10,15
2020-07-11,16
2020-07-12,21
2020-07-13,23
2020-07-15,33
2020-07-16,37
2020-07-17,44
2020-07-18,51
2020-07-19,57
2020-07-21,64
2020-07-22,74
2020-07-23,85
2020-07-24,95
2020-07-25,99
2020-07-27,126
2020-07-28,130
2020-07-30,145
2020-07-31,147
2020-08-01,10
2020-08-04,152
2020-08-05,155
2020-08-06,158
2020-08-07,162
2020-08-08,167
2020-08-09,177
2020-08-11,17
2020-08-12,22
2020-08-13,24
2020-08-14,27
2020-08-17,46
2020-08-19,59
2020-08-20,62
2020-08-22,75
2020-08-23,86
2020-08-24,96
2020-08-25,100
2020-08-30,146
2020-08-31,148
2020-09-03,142
2020-09-04,153
2020-09-07,163
2020-09-14,28
2020-09-17,47
2020-09-22,77
2020-09-23,87
2020-09-26,122
2020-09-28,131
2020-10-01,1
2020-10-03,139
2020-10-10,11
2020-10-12,19
2020-10-19,52
2020-10-20,60
2020-10-22,66
2020-10-24,88
2020-10-25,97
2020-10-28,127
