date,cases
2020-03-13,1
2020-03-19,2
2020-03-20,3
2020-03-21,5
2020-03-22,7
2020-03-25,8
2020-03-26,12
2020-03-29,13
2020-04-03,14
2020-04-07,15
2020-04-09,16
2020-04-11,33
2020-04-12,34
2020-04-13,36
2020-04-14,38
2020-04-15,43
2020-04-16,51
2020-04-17,56
2020-04-18,75
2020-04-19,105
2020-04-20,109
2020-04-21,130
2020-04-22,141
2020-04-23,164
2020-04-24,188
2020-04-25,228
2020-04-26,246
2020-04-27,259
2020-04-28,345
2020-04-29,348
2020-04-30,373
2020-05-01,457
2020-05-02,462
2020-05-03,547
2020-05-05,738
2020-05-06,743
2020-05-07,761
2020-05-08,838
2020-05-09,904
2020-05-10,907
2020-05-11,913
2020-05-12,914
2020-05-13,916
2020-05-15,918
2020-05-16,920
2020-05-19,921
2020-05-20,930
2020-05-21,931
2020-05-22,932
2020-05-23,933
2020-05-24,934
2020-05-25,935
2020-05-26,936
2020-05-28,939
2020-05-29,944
2020-05-30,947
2020-06-01,949
2020-06-05,951
2020-06-06,954
2020-06-07,956
2020-06-08,974
2020-06-09,981
2020-06-10,989
2020-06-11,994
2020-06-12,999
2020-06-13,1005
2020-06-14,1008
2020-06-15,1011
2020-06-16,1033
2020-06-17,1043
2020-06-18,1062
2020-06-19,1084
2020-06-20,1097
2020-06-21,1106
2020-06-22,1113
2020-06-23,1154
2020-06-24,1174
2020-06-25,1198
2020-06-26,1231
2020-06-27,1248
2020-06-28,1259
2020-06-29,1283
2020-06-30,1330
2020-07-01,1360
2020-07-02,1397
2020-07-03,1432
2020-07-04,1481
2020-07-05,1496
2020-07-06,1539
2020-07-07,1561
2020-07-08,1623
2020-07-09,1670
2020-07-10,1727
2020-07-11,1776
2020-07-12,1807
2020-07-13,1886
2020-07-14,1940
2020-07-15,1996
2020-07-16,2097
2020-07-17,2149
2020-07-18,2215
2020-07-19,2283
2020-07-20,2335
2020-07-21,2424
2020-07-22,2498
2020-07-23,2603
2020-07-24,2759
2020-07-25,2873
2020-07-26,2954
2020-07-27,3105
2020-07-28,3250
2020-07-29,3373
2020-07-30,3539
2020-07-31,3664
2020-08-01,3755
2020-08-02,3836
2020-08-03,3936
2020-08-04,4071
2020-08-05,4211
2020-08-06,4384
2020-08-07,4533
2020-08-08,4679
2020-08-09,4787
2020-08-10,5034
2020-08-11,5273
2020-08-12,5459
2020-08-13,5690
2020-08-14,5887
2020-08-15,6073
2020-08-16,6277
2020-08-17,6417
2020-08-18,6645
2020-08-19,6874
2020-08-20,7073
2020-08-21,7318
2020-08-22,7487
2020-08-23,7548
2020-08-24,7907
2020-08-25,8109
2020-08-26,8294
2020-08-27,8500
2020-08-28,8689
2020-08-29,8834
2020-08-30,8989
2020-08-31,9160
2020-09-01,9363
2020-09-02,9529
2020-09-03,9763
2020-09-04,10019
2020-09-05,10189
2020-09-06,10276
2020-09-07,10434
2020-09-08,10617
2020-09-09,10741
2020-09-10,10934
2020-09-11,11124
2020-09-12,11284
2020-09-13,11358
2020-09-14,11538
2020-09-15,11650
2020-09-16,11787
2020-09-17,11908
2020-09-18,12037
2020-09-19,12136
2020-09-20,12283
2020-09-21,12427
2020-09-22,12562
2020-09-23,12686
2020-09-24,12826
2020-09-25,12936
2020-09-26,13063
2020-09-27,13182
2020-09-28,13336
2020-09-29,13455
2020-09-30,13558
2020-10-01,13658
2020-10-02,13796
2020-10-03,13935
2020-10-04,14063
2020-10-05,14220
2020-10-06,14361
2020-10-07,14482
2020-10-08,14603
2020-10-09,14776
2020-10-10,14895
2020-10-11,15002
2020-10-12,15081
2020-10-13,15185
2020-10-14,15315
2020-10-15,15520
2020-10-16,15770
2020-10-17,15904
2020-10-18,16030
2020-10-19,16251
2020-10-20,16528
2020-10-21,16616
2020-10-22,16742
2020-10-23,16908
2020-10-24,17042
2020-10-25,17149
2020-10-26,17298
2020-10-27,17436
2020-10-28,17576
2020-10-29,17705
2020-10-30,17835
2020-10-31,17953
2020-11-01,18016
2020-11-02,18147
2020-11-03,18247
2020-11-04,18386
2020-11-05,18512
2020-11-06,18725
2020-11-07,18848
2020-11-08,18949
2020-11-09,19093
2020-11-10,19185
2020-11-11,19249
2020-11-12,19416
2020-11-13,19564
2020-11-14,19744
2020-11-15,19839
2020-11-16,19943
2020-11-17,20028
2020-11-18,20121
2020-11-19,20303
2020-11-20,20499
2020-11-21,20611
2020-11-22,20699
2020-11-23,20842
2020-11-24,20949
2020-11-25,21067
2020-11-26,21189
2020-11-27,21323
2020-11-28,21375
2020-11-29,21401
2020-11-30,21459
2020-12-01,21478
2020-12-02,21509
2020-12-03,21573
2020-12-04,21634
2020-12-05,21663
2020-12-06,21679
2020-12-07,21735
2020-12-09,21748
2020-12-10,21764
2020-12-11,21765
