date,cases
2020-05-22,39
2020-05-30,68
2020-06-03,64
2020-06-17,28
2020-07-02,32
2020-07-04,78
2020-07-07,98
2020-07-08,100
2020-07-10,5
2020-07-11,8
2020-07-13,12
2020-07-22,41
2020-07-24,46
2020-07-25,52
2020-07-27,54
2020-07-30,69
2020-08-03,67
2020-08-06,92
2020-08-10,6
2020-08-11,9
2020-08-13,15
2020-08-16,26
2020-08-18,30
2020-08-20,34
2020-08-21,36
2020-08-24,51
2020-08-25,53
2020-08-27,55
2020-08-28,57
2020-09-01,4
2020-09-04,79
2020-09-05,84
2020-09-08,101
2020-09-13,18
2020-09-14,23
2020-09-15,24
2020-09-21,38
2020-09-23,44
2020-09-28,59
2020-09-29,60
2020-09-30,72
2020-10-02,31
2020-10-03,63
2020-10-04,77
2020-10-05,83
2020-10-07,96
2020-10-08,99
2020-10-09,102
2020-10-13,11
2020-10-14,20
2020-10-17,27
2020-10-20,33
