date,cases
2020-07-23,3
2020-07-28,4
2020-07-30,6
2020-08-03,8
2020-08-04,11
2020-08-05,14
2020-08-06,15
2020-08-10,21
2020-08-13,27
2020-08-14,28
2020-08-15,29
2020-08-16,30
2020-08-17,31
2020-08-20,35
2020-08-21,44
2020-08-22,47
2020-08-23,50
2020-08-24,56
2020-08-25,58
2020-08-27,62
2020-08-28,64
2020-08-30,66
2020-08-31,69
2020-09-01,70
2020-09-02,72
2020-09-05,73
2020-09-07,78
2020-09-08,81
2020-09-10,83
2020-09-11,86
2020-09-12,88
2020-09-13,89
2020-09-14,90
2020-09-15,91
2020-09-16,92
2020-09-18,96
2020-09-22,99
2020-09-24,101
2020-09-25,102
2020-09-26,104
2020-09-27,108
2020-09-28,109
2020-09-29,110
2020-10-01,116
2020-10-02,120
2020-10-03,121
2020-10-05,123
2020-10-06,125
2020-10-07,126
2020-10-08,128
2020-10-09,130
2020-10-11,138
2020-10-12,140
2020-10-13,146
2020-10-14,154
2020-10-15,159
2020-10-16,160
2020-10-17,164
2020-10-18,165
2020-10-19,167
2020-10-20,176
2020-10-21,178
2020-10-22,179
2020-10-23,184
2020-10-24,187
2020-10-27,189
2020-10-30,192
2020-11-02,193
2020-11-04,194
2020-11-06,195
2020-11-07,200
2020-11-09,201
2020-11-11,202
2020-11-12,203
2020-11-13,204
2020-11-16,205
