date,cases
2020-06-30,1
2020-07-04,2
2020-07-06,3
2020-07-07,4
2020-07-09,5
2020-07-10,7
2020-07-11,8
2020-07-13,12
2020-07-14,13
2020-07-16,14
2020-07-17,15
2020-07-19,18
2020-07-20,19
2020-07-21,20
2020-07-22,25
2020-07-23,26
2020-07-25,31
2020-07-26,34
2020-07-31,37
2020-08-04,40
2020-08-06,42
2020-08-08,45
2020-08-12,47
2020-08-14,49
2020-08-16,50
2020-08-18,51
2020-08-20,52
2020-08-21,53
2020-08-22,54
2020-08-23,55
2020-08-24,56
2020-08-28,57
2020-08-29,58
2020-08-31,59
2020-09-01,67
2020-09-03,71
2020-09-04,75
2020-09-05,80
2020-09-08,86
2020-09-09,87
2020-09-10,92
2020-09-11,93
2020-09-21,94
2020-09-22,98
2020-09-29,99
2020-09-30,100
2020-10-05,102
2020-10-06,105
2020-10-10,110
2020-10-14,111
2020-10-19,112
2020-10-20,113
2020-10-21,114
2020-10-22,116
2020-10-23,119
2020-10-27,120
2020-10-28,128
2020-10-30,130
2020-10-31,141
2020-11-01,142
2020-11-02,143
2020-11-03,144
2020-11-06,145
2020-11-09,148
2020-11-11,151
2020-11-12,155
2020-11-18,159
2020-11-19,160
2020-11-20,161
