date,cases
2020-06-13,1
2020-06-19,3
2020-06-23,4
2020-06-25,5
2020-06-30,6
2020-07-02,7
2020-07-07,11
2020-07-09,12
2020-07-10,13
2020-07-11,19
2020-07-13,22
2020-07-14,23
2020-07-15,29
2020-07-16,31
2020-07-17,32
2020-07-18,34
2020-07-20,36
2020-07-21,40
2020-07-22,43
2020-07-23,49
2020-07-24,52
2020-07-27,58
2020-07-28,63
2020-07-29,65
2020-07-30,67
2020-07-31,69
2020-08-02,70
2020-08-03,74
2020-08-04,78
2020-08-05,85
2020-08-06,93
2020-08-08,94
2020-08-10,95
2020-08-11,96
2020-08-12,100
2020-08-13,104
2020-08-14,110
2020-08-15,113
2020-08-16,114
2020-08-17,116
2020-08-18,117
2020-08-20,119
2020-08-21,121
2020-08-22,122
2020-08-23,123
2020-08-25,127
2020-08-26,128
2020-08-27,131
2020-08-28,135
2020-09-01,138
2020-09-02,139
2020-09-03,140
2020-09-06,141
2020-09-08,143
2020-09-10,145
2020-09-11,146
2020-09-13,148
2020-09-17,150
2020-09-18,152
2020-09-19,153
2020-09-20,154
2020-09-21,157
2020-09-22,158
2020-09-24,160
2020-09-25,161
2020-09-27,166
2020-09-28,169
2020-09-29,170
2020-09-30,175
2020-10-01,176
2020-10-02,179
2020-10-03,181
2020-10-04,183
2020-10-05,188
2020-10-07,193
2020-10-08,195
2020-10-09,196
2020-10-10,198
2020-10-12,200
2020-10-13,205
2020-10-14,207
2020-10-15,214
2020-10-16,220
2020-10-17,224
2020-10-18,230
2020-10-19,238
2020-10-20,253
2020-10-21,263
2020-10-22,274
2020-10-23,295
2020-10-24,302
2020-10-25,323
2020-10-26,338
2020-10-27,344
2020-10-28,355
2020-10-29,370
2020-10-30,379
2020-10-31,391
2020-11-01,392
2020-11-02,399
2020-11-03,407
2020-11-04,415
2020-11-05,431
2020-11-06,440
2020-11-07,448
2020-11-08,453
2020-11-09,454
2020-11-10,456
2020-11-11,459
2020-11-12,464
2020-11-13,469
2020-11-14,473
2020-11-17,475
2020-11-18,490
2020-11-19,500
2020-11-20,515
2020-11-21,520
2020-11-22,523
2020-11-23,543
2020-11-24,552
2020-11-25,576
2020-11-26,585
2020-11-27,601
2020-11-29,605
2020-11-30,614
2020-12-01,631
2020-12-02,639
2020-12-03,654
