date,cases
2020-04-14,60
2020-04-25,135
2020-04-28,160
2020-05-05,229
2020-05-08,254
2020-05-12,27
2020-05-13,41
2020-05-26,140
2020-05-28,161
2020-06-04,218
2020-06-09,269
2020-06-13,44
2020-06-15,65
2020-06-20,111
2020-06-24,128
2020-06-25,136
2020-06-26,141
2020-06-27,153
2020-07-01,1
2020-07-02,106
2020-07-03,208
2020-07-04,222
2020-07-07,252
2020-07-08,255
2020-07-09,271
2020-07-10,4
2020-07-11,13
2020-07-12,30
2020-07-13,46
2020-07-14,61
2020-07-15,68
2020-07-16,84
2020-07-17,88
2020-07-18,92
2020-07-19,100
2020-07-20,112
2020-07-21,117
2020-07-22,121
2020-07-23,125
2020-07-24,131
2020-07-25,137
2020-07-26,146
2020-07-27,158
2020-07-28,162
2020-07-29,172
2020-07-30,215
2020-07-31,217
2020-08-01,2
2020-08-02,107
2020-08-03,212
2020-08-04,227
2020-08-06,248
2020-08-07,253
2020-08-08,260
2020-08-09,276
2020-08-10,7
2020-08-11,14
2020-08-12,33
2020-08-13,58
2020-08-14,62
2020-08-15,70
2020-08-18,95
2020-08-19,104
2020-08-20,116
2020-08-21,119
2020-08-22,123
2020-08-24,132
2020-08-25,138
2020-08-26,150
2020-08-27,159
2020-08-28,166
2020-08-29,174
2020-09-01,3
2020-09-02,108
2020-09-03,214
2020-09-04,228
2020-09-05,230
2020-09-06,249
2020-09-08,268
2020-09-09,277
2020-09-10,9
2020-09-11,26
2020-09-12,39
2020-09-13,59
2020-09-14,63
2020-09-15,72
2020-09-21,120
2020-09-23,127
2020-09-24,133
2020-09-26,151
2020-09-29,175
2020-10-02,105
2020-10-03,176
2020-10-13,40
2020-10-15,64
2020-10-18,91
2020-10-19,98
2020-10-20,110
2020-10-26,139
2020-10-27,152
