date,deaths
2020-05-28,1
2020-07-06,1
2020-07-10,1
2020-07-22,1
2020-08-03,2
2020-08-04,1
2020-08-09,1
2020-08-15,2
2020-08-16,1
2020-08-23,1
2020-08-24,2
2020-08-26,1
2020-08-27,2
2020-08-28,1
2020-09-02,1
2020-09-03,2
2020-09-07,1
2020-09-08,1
2020-09-09,1
2020-09-10,1
2020-09-11,3
2020-09-12,2
2020-09-15,1
2020-09-16,1
2020-09-17,1
2020-09-18,1
2020-09-20,1
2020-09-22,1
2020-09-25,2
2020-09-26,2
2020-09-27,2
2020-09-29,1
2020-10-01,1
2020-10-02,1
2020-10-06,1
2020-10-24,1
2020-10-28,2
2020-10-29,1
2020-11-04,1
2020-11-07,1
2020-11-13,1
2020-11-16,1
2020-11-19,1
2020-12-01,1
2020-12-16,1
