date,deaths
2020-05-07,1
2020-05-21,1
2020-05-23,1
2020-05-25,1
2020-05-28,1
2020-05-31,1
2020-06-03,1
2020-06-04,1
2020-06-08,1
2020-06-09,1
2020-06-10,2
2020-06-12,1
2020-06-14,1
2020-06-16,2
2020-06-17,3
2020-06-18,1
2020-06-19,2
2020-06-20,3
2020-06-21,1
2020-06-23,1
2020-06-24,1
2020-06-25,3
2020-06-26,1
2020-06-27,4
2020-06-28,1
2020-06-29,2
2020-07-01,2
2020-07-02,1
2020-07-03,2
2020-07-04,1
2020-07-05,1
2020-07-06,1
2020-07-07,2
2020-07-08,1
2020-07-11,2
2020-07-12,1
2020-07-14,1
2020-07-15,5
2020-07-18,2
2020-07-19,2
2020-07-21,2
2020-07-22,4
2020-07-25,1
2020-07-27,2
2020-07-28,1
2020-07-29,1
2020-08-01,3
2020-08-02,1
2020-08-03,1
2020-08-04,1
2020-08-05,1
2020-08-07,2
2020-08-08,1
2020-08-09,1
2020-08-13,1
2020-08-14,1
2020-08-15,3
2020-08-29,1
2020-09-13,1
2020-09-14,1
2020-09-15,1
2020-09-19,1
2020-09-20,1
2020-09-22,1
2020-10-01,1
2020-10-07,1
2020-10-09,1
2020-10-23,1
2020-11-23,1
2020-11-25,1
2020-12-02,1
2020-12-07,1
2020-12-11,1
2020-12-16,1
2020-12-22,1
