date,deaths
2020-03-18,2
2020-03-20,2
2020-03-21,1
2020-03-22,2
2020-03-23,6
2020-03-24,3
2020-03-25,3
2020-03-26,3
2020-03-27,10
2020-03-28,3
2020-03-29,7
2020-03-30,8
2020-03-31,6
2020-04-01,5
2020-04-02,6
2020-04-03,9
2020-04-04,7
2020-04-05,4
2020-04-06,1
2020-04-07,3
2020-04-08,1
2020-04-09,2
2020-04-10,1
2020-04-11,2
2020-04-12,5
2020-04-13,4
2020-04-14,2
2020-04-15,6
2020-04-16,6
2020-04-17,5
2020-04-18,6
2020-04-19,2
2020-04-20,3
2020-04-21,6
2020-04-22,5
2020-04-23,2
2020-04-24,5
2020-04-25,2
2020-04-26,2
2020-04-27,4
2020-04-28,7
2020-04-29,8
2020-04-30,10
2020-05-01,8
2020-05-02,9
2020-05-03,4
2020-05-04,6
2020-05-05,7
2020-05-06,4
2020-05-07,3
2020-05-08,8
2020-05-09,6
2020-05-10,9
2020-05-11,7
2020-05-13,7
2020-05-14,6
2020-05-15,8
2020-05-16,7
2020-05-17,12
2020-05-18,11
2020-05-19,13
2020-05-20,13
2020-05-21,5
2020-05-22,9
2020-05-23,17
2020-05-24,9
2020-05-25,9
2020-05-26,11
2020-05-27,20
2020-05-28,9
2020-05-29,19
2020-05-30,7
2020-05-31,9
2020-06-01,12
2020-06-02,15
2020-06-03,12
2020-06-04,10
2020-06-05,16
2020-06-06,15
2020-06-07,23
2020-06-08,20
2020-06-09,28
2020-06-10,22
2020-06-11,24
2020-06-12,26
2020-06-13,27
2020-06-14,18
2020-06-15,22
2020-06-16,28
2020-06-17,29
2020-06-18,39
2020-06-19,26
2020-06-20,29
2020-06-21,47
2020-06-22,44
2020-06-23,49
2020-06-24,51
2020-06-25,60
2020-06-26,55
2020-06-27,51
2020-06-28,50
2020-06-29,53
2020-06-30,60
2020-07-01,75
2020-07-02,94
2020-07-03,83
2020-07-04,73
2020-07-05,73
2020-07-06,92
2020-07-07,111
2020-07-08,103
2020-07-09,91
2020-07-10,103
2020-07-11,82
2020-07-12,76
2020-07-13,102
2020-07-14,106
2020-07-15,130
2020-07-16,117
2020-07-17,133
2020-07-18,111
2020-07-19,124
2020-07-20,123
2020-07-21,112
2020-07-22,134
2020-07-23,114
2020-07-24,160
2020-07-25,102
2020-07-26,120
2020-07-27,132
2020-07-28,136
2020-07-29,138
2020-07-30,123
2020-07-31,127
2020-08-01,110
2020-08-02,103
2020-08-03,101
2020-08-04,116
2020-08-05,96
2020-08-06,106
2020-08-07,94
2020-08-08,72
2020-08-09,89
2020-08-10,76
2020-08-11,83
2020-08-12,95
2020-08-13,78
2020-08-14,88
2020-08-15,83
2020-08-16,79
2020-08-17,80
2020-08-18,94
2020-08-19,93
2020-08-20,55
2020-08-21,63
2020-08-22,44
2020-08-23,46
2020-08-24,43
2020-08-25,59
2020-08-26,154
2020-08-27,55
2020-08-28,56
2020-08-29,49
2020-08-30,48
2020-08-31,58
2020-09-01,60
2020-09-02,57
2020-09-03,48
2020-09-04,47
2020-09-05,40
2020-09-06,37
2020-09-07,45
2020-09-08,35
2020-09-09,53
2020-09-10,51
2020-09-11,43
2020-09-12,38
2020-09-13,31
2020-09-14,36
2020-09-15,36
2020-09-16,38
2020-09-17,43
2020-09-18,36
2020-09-19,25
2020-09-20,29
2020-09-21,27
2020-09-22,22
2020-09-23,22
2020-09-24,36
2020-09-25,49
2020-09-26,27
2020-09-27,27
2020-09-28,38
2020-09-29,28
2020-09-30,38
2020-10-01,28
2020-10-02,23
2020-10-03,45
2020-10-04,25
2020-10-05,34
2020-10-06,30
2020-10-07,34
2020-10-08,46
2020-10-09,30
2020-10-10,23
2020-10-11,21
2020-10-12,29
2020-10-13,37
2020-10-14,32
2020-10-15,34
2020-10-16,29
2020-10-17,31
2020-10-18,25
2020-10-19,47
2020-10-20,25
2020-10-21,32
2020-10-22,41
2020-10-23,35
2020-10-24,28
2020-10-25,27
2020-10-26,26
2020-10-27,32
2020-10-28,29
2020-10-29,36
2020-10-30,38
2020-10-31,37
2020-11-01,44
2020-11-02,34
2020-11-03,32
2020-11-04,32
2020-11-05,43
2020-11-06,34
2020-11-07,28
2020-11-08,20
2020-11-09,28
2020-11-10,38
2020-11-11,20
2020-11-12,30
2020-11-13,51
2020-11-14,22
2020-11-15,24
2020-11-16,37
2020-11-17,32
2020-11-18,21
2020-11-19,50
2020-11-20,17
2020-11-21,35
2020-11-22,34
2020-11-23,44
2020-11-24,34
2020-11-25,30
2020-11-26,45
2020-11-27,37
2020-11-28,27
2020-11-29,26
2020-11-30,34
2020-12-01,38
2020-12-02,32
2020-12-03,37
2020-12-04,45
2020-12-05,28
2020-12-06,31
2020-12-07,39
2020-12-08,47
2020-12-09,36
2020-12-10,54
2020-12-11,42
2020-12-12,43
2020-12-13,36
2020-12-14,39
2020-12-15,67
2020-12-16,52
2020-12-17,49
2020-12-18,48
2020-12-19,44
2020-12-20,54
2020-12-21,48
2020-12-22,38
2020-12-23,46
2020-12-24,43
2020-12-25,19
2020-12-26,54
2020-12-27,30
2020-12-28,42
2020-12-29,29
2020-12-30,34
2020-12-31,9
2021-01-01,6
2021-01-02,2
2021-01-03,1
2021-01-04,3
