date,deaths
2020-04-19,1
2020-05-26,1
2020-06-07,1
2020-06-14,2
2020-06-18,1
2020-06-22,2
2020-06-26,1
2020-06-27,1
2020-06-28,1
2020-06-29,1
2020-07-04,2
2020-07-06,1
2020-07-08,1
2020-07-09,2
2020-07-10,3
2020-07-12,4
2020-07-13,4
2020-07-14,5
2020-07-15,4
2020-07-16,5
2020-07-17,5
2020-07-18,7
2020-07-19,5
2020-07-20,5
2020-07-21,5
2020-07-22,16
2020-07-23,6
2020-07-24,8
2020-07-25,7
2020-07-26,11
2020-07-27,13
2020-07-28,13
2020-07-29,8
2020-07-30,14
2020-07-31,9
2020-08-01,9
2020-08-02,17
2020-08-03,8
2020-08-04,17
2020-08-05,10
2020-08-06,11
2020-08-07,17
2020-08-08,19
2020-08-09,11
2020-08-10,18
2020-08-11,17
2020-08-12,17
2020-08-13,12
2020-08-14,14
2020-08-15,10
2020-08-16,17
2020-08-17,12
2020-08-18,13
2020-08-19,11
2020-08-20,13
2020-08-21,14
2020-08-22,13
2020-08-23,9
2020-08-24,15
2020-08-25,23
2020-08-26,7
2020-08-27,8
2020-08-28,2
2020-08-29,5
2020-08-30,4
2020-08-31,8
2020-09-01,11
2020-09-02,8
2020-09-03,10
2020-09-04,7
2020-09-05,5
2020-09-06,4
2020-09-07,1
2020-09-08,8
2020-09-09,8
2020-09-10,7
2020-09-11,7
2020-09-12,7
2020-09-13,3
2020-09-14,1
2020-09-15,5
2020-09-16,4
2020-09-17,4
2020-09-18,7
2020-09-19,3
2020-09-20,9
2020-09-21,5
2020-09-22,3
2020-09-23,4
2020-09-24,3
2020-09-25,5
2020-09-26,3
2020-09-28,5
2020-09-29,4
2020-09-30,2
2020-10-01,1
2020-10-02,5
2020-10-03,6
2020-10-04,2
2020-10-05,7
2020-10-06,7
2020-10-07,4
2020-10-08,3
2020-10-09,3
2020-10-10,3
2020-10-11,2
2020-10-12,2
2020-10-13,3
2020-10-14,4
2020-10-15,3
2020-10-16,2
2020-10-17,3
2020-10-18,5
2020-10-19,2
2020-10-20,2
2020-10-21,1
2020-10-22,1
2020-10-23,6
2020-10-24,1
2020-10-25,3
2020-10-27,1
2020-10-30,1
2020-10-31,1
