date,deaths
2020-03-13,1
2020-03-25,1
2020-03-28,2
2020-03-29,1
2020-03-30,2
2020-04-02,2
2020-04-03,1
2020-04-04,1
2020-04-07,1
2020-04-08,2
2020-04-11,3
2020-04-12,1
2020-04-13,3
2020-04-16,1
2020-04-19,1
2020-04-20,1
2020-04-21,1
2020-04-22,1
2020-04-23,3
2020-04-24,1
2020-04-25,2
2020-04-26,2
2020-04-27,1
2020-04-28,2
2020-04-29,3
2020-04-30,5
2020-05-01,1
2020-05-02,5
2020-05-03,4
2020-05-04,1
2020-05-05,8
2020-05-06,11
2020-05-07,10
2020-05-08,3
2020-05-09,2
2020-05-10,5
2020-05-11,6
2020-05-12,6
2020-05-13,6
2020-05-14,10
2020-05-15,10
2020-05-16,5
2020-05-17,3
2020-05-18,16
2020-05-19,10
2020-05-20,12
2020-05-21,7
2020-05-22,4
2020-05-23,3
2020-05-24,4
2020-05-25,6
2020-05-26,2
2020-05-27,6
2020-05-28,5
2020-05-29,6
2020-05-30,4
2020-05-31,2
2020-06-01,7
2020-06-02,7
2020-06-03,4
2020-06-04,6
2020-06-05,5
2020-06-06,7
2020-06-07,2
2020-06-08,9
2020-06-09,8
2020-06-10,14
2020-06-11,14
2020-06-12,7
2020-06-13,16
2020-06-14,2
2020-06-15,9
2020-06-16,15
2020-06-17,14
2020-06-18,10
2020-06-19,8
2020-06-20,6
2020-06-21,12
2020-06-22,5
2020-06-23,9
2020-06-24,4
2020-06-25,11
2020-06-26,6
2020-06-27,3
2020-06-28,1
2020-06-29,3
2020-06-30,4
2020-07-01,6
2020-07-02,1
2020-07-03,6
2020-07-04,6
2020-07-05,7
2020-07-06,4
2020-07-07,8
2020-07-08,1
2020-07-09,3
2020-07-10,3
2020-07-11,3
2020-07-12,1
2020-07-13,6
2020-07-14,4
2020-07-15,1
2020-07-16,4
2020-07-17,3
2020-07-18,3
2020-07-19,5
2020-07-20,2
2020-07-21,4
2020-07-23,2
2020-07-24,3
2020-07-25,4
2020-07-26,5
2020-07-27,1
2020-07-28,1
2020-07-29,1
2020-07-30,3
2020-08-01,2
2020-08-02,2
2020-08-05,2
2020-08-06,1
2020-08-07,7
2020-08-08,2
2020-08-09,3
2020-08-10,2
2020-08-11,2
2020-08-13,1
2020-08-14,3
2020-08-15,1
2020-08-17,1
2020-08-18,5
2020-08-19,2
2020-08-20,3
2020-08-21,1
2020-08-23,1
2020-08-27,2
2020-08-29,2
2020-08-30,1
2020-09-01,2
2020-09-02,1
2020-09-03,3
2020-09-04,1
2020-09-07,3
2020-09-10,1
2020-09-11,2
2020-09-12,3
2020-09-13,1
2020-09-14,1
2020-09-16,1
2020-09-17,1
2020-09-18,2
2020-09-19,2
2020-09-20,1
2020-09-22,2
2020-09-24,1
2020-09-26,2
2020-09-28,1
2020-09-29,1
2020-10-02,1
2020-10-05,1
2020-10-06,2
2020-10-07,1
2020-10-08,3
2020-10-11,1
2020-10-12,1
2020-10-13,2
2020-10-14,1
2020-10-15,2
2020-10-16,2
2020-10-17,1
2020-10-18,4
2020-10-19,2
2020-10-20,3
2020-10-21,1
2020-10-22,2
2020-10-23,3
2020-10-24,2
2020-10-25,1
2020-10-26,1
2020-10-28,2
2020-10-29,1
2020-10-30,2
2020-10-31,2
2020-11-01,2
2020-11-02,3
2020-11-05,3
2020-11-06,2
2020-11-07,4
2020-11-08,4
2020-11-09,2
2020-11-10,3
2020-11-11,3
2020-11-13,2
2020-11-14,3
2020-11-15,1
2020-11-16,2
2020-11-17,4
2020-11-18,1
2020-11-19,8
2020-11-20,5
2020-11-22,2
2020-11-23,7
2020-11-25,2
2020-11-26,6
2020-11-27,3
2020-11-28,8
2020-11-29,3
2020-11-30,7
2020-12-01,1
2020-12-03,4
2020-12-04,2
2020-12-05,2
2020-12-06,1
2020-12-07,2
2020-12-08,4
2020-12-09,2
2020-12-10,2
2020-12-12,1
2020-12-14,1
2020-12-15,1
2020-12-18,1
