date,deaths
2020-06-11,1
2020-06-17,1
2020-06-22,2
2020-06-24,1
2020-06-25,3
2020-06-26,3
2020-06-27,1
2020-06-28,1
2020-06-29,2
2020-07-01,3
2020-07-03,1
2020-07-04,4
2020-07-05,3
2020-07-07,2
2020-07-08,4
2020-07-10,3
2020-07-11,1
2020-07-12,5
2020-07-13,5
2020-07-14,8
2020-07-15,2
2020-07-16,7
2020-07-17,3
2020-07-18,8
2020-07-19,2
2020-07-20,1
2020-07-21,4
2020-07-22,2
2020-07-23,1
2020-07-24,4
2020-07-25,4
2020-07-26,4
2020-07-27,1
2020-07-28,6
2020-07-30,2
2020-07-31,4
2020-08-01,5
2020-08-02,3
2020-08-04,2
2020-08-05,2
2020-08-08,1
2020-08-11,2
2020-08-13,2
2020-08-16,1
2020-08-17,1
2020-08-18,1
2020-08-22,1
2020-08-24,4
2020-08-25,1
2020-08-27,1
2020-08-29,1
2020-08-31,1
2020-09-01,2
2020-09-03,1
2020-09-06,1
2020-09-07,1
2020-09-08,1
2020-09-09,1
2020-09-10,1
2020-09-15,1
2020-09-21,1
2020-09-24,1
2020-09-29,1
2020-10-01,1
2020-10-02,1
2020-10-05,1
2020-10-07,2
2020-10-18,1
