date,deaths
2020-03-26,2
2020-03-27,1
2020-03-28,1
2020-03-29,1
2020-04-11,1
2020-04-17,1
2020-04-25,1
2020-04-28,1
2020-05-02,1
2020-05-12,1
2020-06-01,1
2020-06-09,2
2020-06-15,1
2020-06-18,2
2020-06-20,2
2020-06-25,1
2020-06-30,1
2020-07-01,2
2020-07-02,1
2020-07-04,2
2020-07-05,2
2020-07-06,1
2020-07-07,4
2020-07-08,4
2020-07-09,5
2020-07-10,5
2020-07-11,4
2020-07-12,4
2020-07-13,12
2020-07-14,10
2020-07-15,9
2020-07-16,6
2020-07-17,13
2020-07-18,5
2020-07-19,3
2020-07-20,11
2020-07-21,5
2020-07-22,13
2020-07-23,20
2020-07-24,11
2020-07-25,9
2020-07-26,15
2020-07-27,21
2020-07-28,19
2020-07-29,19
2020-07-30,15
2020-07-31,17
2020-08-01,17
2020-08-02,12
2020-08-03,20
2020-08-04,11
2020-08-05,13
2020-08-06,22
2020-08-07,14
2020-08-08,15
2020-08-09,23
2020-08-10,23
2020-08-11,11
2020-08-12,11
2020-08-13,9
2020-08-14,8
2020-08-15,9
2020-08-16,14
2020-08-17,7
2020-08-18,12
2020-08-19,7
2020-08-20,5
2020-08-21,10
2020-08-22,4
2020-08-23,3
2020-08-24,15
2020-08-25,3
2020-08-26,5
2020-08-27,7
2020-08-28,4
2020-08-29,6
2020-08-30,2
2020-08-31,2
2020-09-01,4
2020-09-02,6
2020-09-03,2
2020-09-04,3
2020-09-05,3
2020-09-06,4
2020-09-07,1
2020-09-08,4
2020-09-10,6
2020-09-11,4
2020-09-12,1
2020-09-13,1
2020-09-14,4
2020-09-15,9
2020-09-16,5
2020-09-18,7
2020-09-19,8
2020-09-20,2
2020-09-21,6
2020-09-22,1
2020-09-23,4
2020-09-24,7
2020-09-25,5
2020-09-26,6
2020-09-27,1
2020-09-28,4
2020-09-29,1
2020-09-30,1
2020-10-01,2
2020-10-02,7
2020-10-03,1
2020-10-04,5
2020-10-05,3
2020-10-06,1
2020-10-07,5
2020-10-08,4
2020-10-09,2
2020-10-10,2
2020-10-11,3
2020-10-12,1
2020-10-13,2
2020-10-14,3
2020-10-15,1
2020-10-16,1
2020-10-17,4
2020-10-18,2
2020-10-19,1
2020-10-20,3
2020-10-21,3
2020-10-22,4
2020-10-23,1
2020-10-24,7
2020-10-25,1
2020-10-26,1
2020-10-27,1
