date,deaths
2020-07-08,1
2020-07-16,2
2020-07-22,1
2020-07-24,3
2020-07-25,2
2020-07-28,2
2020-07-30,2
2020-07-31,1
2020-08-01,1
2020-08-02,3
2020-08-04,1
2020-08-05,1
2020-08-06,2
2020-08-07,1
2020-08-09,1
2020-08-10,1
2020-08-11,4
2020-08-14,1
2020-08-18,4
2020-08-20,1
2020-08-21,1
2020-08-24,2
2020-08-26,1
2020-08-27,2
2020-08-28,1
2020-09-01,1
2020-09-02,1
2020-09-03,1
2020-09-04,1
2020-09-07,1
2020-09-10,1
2020-09-18,1
2020-09-22,1
2020-09-28,1
2020-10-15,1
2020-11-02,1
2020-12-04,1
2020-12-08,1
