date,deaths
2020-07-04,1
2020-07-07,1
2020-07-08,1
2020-07-10,1
2020-07-11,1
2020-07-15,1
2020-07-16,4
2020-07-17,1
2020-07-20,1
2020-07-22,1
2020-07-23,1
2020-07-24,2
2020-07-25,1
2020-07-26,3
2020-07-28,1
2020-07-29,1
2020-07-30,1
2020-07-31,1
2020-08-02,1
2020-08-03,1
2020-08-04,1
2020-08-05,3
2020-08-06,1
2020-08-07,2
2020-08-08,2
2020-08-11,1
2020-08-13,1
2020-08-18,1
2020-08-20,1
2020-08-24,2
2020-08-25,1
2020-08-26,2
2020-08-27,1
2020-08-28,2
2020-08-29,2
2020-08-30,2
2020-09-01,1
2020-09-02,1
2020-09-03,1
2020-09-05,2
2020-09-12,2
2020-09-15,1
2020-09-16,1
2020-09-18,2
2020-09-19,1
2020-09-21,2
2020-09-22,1
2020-09-23,1
2020-09-26,3
2020-10-01,2
2020-10-02,2
2020-10-03,2
2020-10-04,1
2020-10-05,1
2020-10-07,1
2020-10-08,2
2020-10-09,1
2020-10-10,2
2020-10-11,2
2020-10-12,2
2020-10-13,1
2020-10-14,1
2020-10-16,6
2020-10-17,1
2020-10-18,3
2020-10-19,3
2020-10-20,2
2020-10-21,2
2020-10-22,1
2020-10-23,3
2020-10-24,5
2020-10-25,2
2020-10-26,4
2020-10-27,2
2020-10-31,4
2020-11-01,6
2020-11-03,1
2020-11-04,1
2020-11-07,1
2020-11-11,1
2020-11-12,1
2020-11-13,1
2020-11-14,1
2020-11-16,1
2020-11-19,1
2020-11-22,2
