date,deaths
2020-05-21,1
2020-07-02,1
2020-07-08,1
2020-07-23,1
2020-07-26,1
2020-07-27,1
2020-08-01,1
2020-08-02,1
2020-08-07,1
2020-08-09,3
2020-08-10,1
2020-08-14,1
2020-08-18,1
2020-08-20,1
2020-08-21,1
2020-08-24,1
2020-08-25,3
2020-08-27,4
2020-09-02,2
2020-09-03,3
2020-09-04,1
2020-09-05,2
2020-09-08,4
2020-09-09,2
2020-09-14,2
2020-09-15,2
2020-09-18,1
2020-09-21,1
2020-09-22,2
2020-09-23,1
2020-09-29,1
2020-09-30,1
2020-10-01,1
2020-10-06,1
2020-10-07,1
2020-10-08,1
2020-10-09,1
2020-10-12,1
2020-10-13,1
2020-10-14,3
2020-10-15,1
2020-10-16,1
2020-10-17,1
2020-10-18,1
2020-10-19,1
2020-10-20,1
2020-10-23,2
2020-10-26,5
2020-10-27,2
2020-10-28,1
2020-10-31,1
2020-11-01,2
2020-11-04,2
2020-11-05,1
2020-11-06,4
2020-11-08,1
2020-11-09,2
2020-11-10,1
2020-11-11,1
2020-11-12,2
2020-11-13,2
2020-11-15,1
2020-11-16,1
2020-11-17,1
2020-11-19,1
2020-11-20,2
2020-11-21,1
2020-11-22,2
2020-11-24,1
2020-11-25,1
2020-11-28,1
2020-11-30,2
2020-12-01,1
2020-12-03,3
2020-12-05,1
2020-12-06,1
2020-12-07,3
2020-12-11,2
2020-12-14,1
2020-12-17,1
