date,deaths
2020-07-26,1
2020-07-29,1
2020-08-08,1
2020-08-11,1
2020-08-16,1
2020-08-21,1
2020-08-26,1
2020-09-02,1
2020-09-05,1
2020-09-10,1
2020-09-11,1
2020-10-01,1
2020-10-06,1
2020-10-11,1
2020-10-20,1
2020-10-21,1
2020-10-28,1
2020-11-01,1
2020-11-03,1
2020-11-05,1
2020-11-08,1
2020-11-09,2
2020-11-11,2
2020-11-14,1
2020-11-18,2
2020-11-20,1
2020-11-21,1
2020-12-01,3
2020-12-04,1
2020-12-05,3
2020-12-07,1
2020-12-09,1
2020-12-10,3
2020-12-11,1
2020-12-12,4
2020-12-13,1
2020-12-14,1
2020-12-15,1
2020-12-21,1
2020-12-26,2
2021-01-03,1
