date,deaths
2020-04-28,1
2020-05-09,1
2020-06-08,1
2020-06-16,1
2020-06-27,1
2020-07-08,1
2020-07-10,2
2020-07-14,1
2020-07-18,1
2020-07-19,1
2020-07-25,1
2020-07-26,1
2020-07-28,1
2020-07-31,1
2020-08-01,2
2020-08-02,1
2020-08-05,2
2020-08-06,2
2020-08-07,7
2020-08-08,1
2020-08-09,1
2020-08-10,2
2020-08-11,1
2020-08-12,2
2020-08-14,1
2020-08-15,3
2020-08-16,6
2020-08-17,3
2020-08-20,2
2020-08-21,5
2020-08-22,2
2020-08-24,3
2020-08-25,1
2020-08-26,1
2020-08-27,1
2020-08-30,2
2020-09-01,2
2020-09-02,1
2020-09-04,1
2020-09-06,3
2020-09-07,1
2020-09-09,5
2020-09-10,2
2020-09-12,1
2020-09-13,2
2020-09-14,2
2020-09-15,2
2020-09-16,2
2020-09-17,1
2020-09-18,4
2020-09-19,1
2020-09-20,3
2020-09-21,2
2020-09-23,1
2020-09-25,3
2020-09-26,1
2020-09-27,2
2020-09-28,3
2020-09-29,1
2020-09-30,1
2020-10-01,4
2020-10-02,4
2020-10-03,3
2020-10-05,7
2020-10-06,2
2020-10-07,1
2020-10-08,5
2020-10-10,5
2020-10-11,2
2020-10-12,7
2020-10-13,4
2020-10-14,7
2020-10-15,3
2020-10-16,2
2020-10-17,4
2020-10-18,3
2020-10-19,4
2020-10-20,10
2020-10-21,10
2020-10-22,7
2020-10-23,4
2020-10-24,7
2020-10-25,4
2020-10-26,7
2020-10-27,12
2020-10-28,6
2020-10-29,3
2020-10-30,4
2020-10-31,8
2020-11-01,5
2020-11-02,3
2020-11-03,2
2020-11-04,7
2020-11-05,7
2020-11-06,7
2020-11-07,2
2020-11-08,6
2020-11-09,1
2020-11-10,6
2020-11-11,5
2020-11-12,4
2020-11-13,3
2020-11-14,2
2020-11-15,1
2020-11-16,5
2020-11-17,3
2020-11-18,5
2020-11-19,5
2020-11-20,3
2020-11-21,2
2020-11-22,3
2020-11-24,2
2020-11-25,2
2020-11-26,2
2020-11-27,5
2020-11-28,2
2020-11-30,2
2020-12-03,1
2020-12-06,2
2020-12-07,2
2020-12-08,1
2020-12-12,1
2020-12-13,1
