date,deaths
2020-04-27,1
2020-05-04,1
2020-05-05,1
2020-05-12,1
2020-05-15,1
2020-05-24,1
2020-05-27,1
2020-05-31,1
2020-06-01,1
2020-06-02,2
2020-06-23,1
2020-06-27,2
2020-06-28,1
2020-06-29,2
2020-07-06,1
2020-07-07,1
2020-07-08,2
2020-07-14,2
2020-07-17,1
2020-07-21,2
2020-07-22,1
2020-07-23,3
2020-07-25,1
2020-07-26,1
2020-07-28,1
2020-07-30,1
2020-07-31,1
2020-08-01,1
2020-08-02,1
2020-08-03,2
2020-08-05,1
2020-08-07,3
2020-08-14,1
2020-08-15,1
2020-08-16,1
2020-08-18,2
2020-08-19,1
2020-08-20,1
2020-08-23,1
2020-08-24,3
2020-08-26,1
2020-08-27,1
2020-08-28,1
2020-08-30,1
2020-08-31,1
2020-09-01,2
2020-09-02,2
2020-09-05,2
2020-09-07,1
2020-09-08,1
2020-09-15,1
2020-09-17,1
2020-09-18,1
2020-09-21,1
2020-09-22,1
2020-09-24,1
2020-09-25,1
2020-09-28,1
2020-10-02,1
2020-10-14,1
2020-10-16,1
2020-10-21,1
