date,deaths
2020-04-15,1
2020-06-18,1
2020-06-24,3
2020-06-25,1
2020-06-26,3
2020-07-02,1
2020-07-03,1
2020-07-05,1
2020-07-06,1
2020-07-07,5
2020-07-08,2
2020-07-09,2
2020-07-10,4
2020-07-11,1
2020-07-12,1
2020-07-15,3
2020-07-16,2
2020-07-17,4
2020-07-18,1
2020-07-21,5
2020-07-24,2
2020-07-25,2
2020-07-26,2
2020-07-27,2
2020-07-28,3
2020-07-30,4
2020-07-31,1
2020-08-01,3
2020-08-02,3
2020-08-03,4
2020-08-04,2
2020-08-05,2
2020-08-06,2
2020-08-07,2
2020-08-08,2
2020-08-09,1
2020-08-12,4
2020-08-13,2
2020-08-15,1
2020-08-16,3
2020-08-17,3
2020-08-18,1
2020-08-19,2
2020-08-22,3
2020-08-23,1
2020-08-24,2
2020-08-25,1
2020-08-26,1
2020-08-27,1
2020-08-28,2
2020-08-30,3
2020-08-31,1
2020-09-08,1
2020-09-09,1
2020-09-11,1
2020-09-13,1
2020-09-14,1
2020-09-15,1
2020-09-17,1
2020-09-19,1
2020-09-20,1
2020-09-21,2
2020-09-22,1
2020-09-23,1
2020-09-24,1
2020-09-25,1
2020-09-28,1
2020-09-29,1
2020-10-01,1
2020-10-02,2
2020-10-05,2
2020-10-07,1
2020-10-08,1
2020-10-12,1
2020-10-14,2
2020-10-19,1
