date,deaths
2020-03-21,1
2020-03-30,1
2020-04-15,1
2020-04-28,1
2020-06-13,1
2020-06-17,1
2020-07-01,1
2020-07-06,1
2020-07-07,2
2020-07-12,1
2020-07-21,1
2020-07-22,1
2020-07-24,2
2020-07-25,1
2020-07-29,1
2020-08-01,1
2020-08-08,1
2020-08-12,1
2020-08-15,1
2020-08-16,1
2020-08-18,1
2020-08-21,1
2020-08-22,2
2020-08-23,1
2020-08-25,1
2020-08-29,2
2020-09-01,1
2020-09-02,2
2020-09-04,1
2020-09-05,1
2020-09-07,1
2020-09-08,2
2020-09-09,1
2020-09-11,1
2020-09-12,2
2020-09-14,1
2020-09-15,2
2020-09-16,2
2020-09-17,2
2020-09-18,1
2020-09-21,1
2020-09-23,2
2020-09-26,1
2020-09-27,2
2020-09-28,2
2020-09-30,1
2020-10-01,4
2020-10-03,3
2020-10-04,1
2020-10-05,1
2020-10-06,2
2020-10-07,1
2020-10-09,2
2020-10-11,2
2020-10-15,1
2020-10-18,1
2020-10-19,1
2020-10-20,1
2020-10-22,1
2020-10-27,1
