date,deaths
2020-04-22,1
2020-06-21,1
2020-07-13,1
2020-07-15,1
2020-07-16,1
2020-07-18,1
2020-07-23,1
2020-07-26,1
2020-08-02,1
2020-08-03,1
2020-08-06,1
2020-08-08,1
2020-08-13,1
2020-08-15,1
2020-08-18,2
2020-08-24,2
2020-08-25,1
2020-08-26,1
2020-08-30,1
2020-09-08,1
2020-09-10,1
2020-09-11,1
2020-09-13,1
2020-09-14,1
2020-09-15,2
2020-09-17,1
2020-09-18,1
2020-09-19,2
2020-09-20,1
2020-09-21,1
2020-09-22,1
2020-09-28,1
2020-09-30,1
2020-10-01,3
2020-10-02,2
2020-10-03,1
2020-10-04,1
2020-10-05,5
2020-10-06,2
2020-10-07,1
2020-10-09,1
2020-10-10,1
2020-10-11,1
2020-10-14,2
2020-10-15,3
2020-10-16,1
2020-10-17,2
2020-10-18,1
2020-10-19,1
2020-10-20,2
2020-10-22,1
2020-10-23,2
2020-10-24,2
2020-10-25,2
2020-10-26,2
2020-10-27,3
2020-10-28,3
2020-10-30,1
2020-10-31,1
2020-11-02,1
2020-11-03,2
2020-11-04,2
2020-11-05,2
2020-11-06,1
2020-11-08,1
2020-11-10,1
2020-11-15,2
2020-11-16,1
2020-11-19,1
