date,deaths
2020-07-17,13
2020-07-22,20
2020-07-23,22
2020-07-27,31
2020-07-28,36
2020-07-31,38
2020-08-04,40
2020-08-06,44
2020-08-07,45
2020-08-09,47
2020-08-10,3
2020-08-11,4
2020-08-14,8
2020-08-15,12
2020-08-19,17
2020-08-20,19
2020-08-23,24
2020-08-24,26
2020-08-25,28
2020-08-27,34
2020-08-28,37
2020-09-04,43
2020-09-08,46
2020-09-09,48
2020-09-12,5
2020-09-13,7
2020-09-14,9
2020-09-17,15
2020-09-18,16
2020-09-22,21
2020-09-26,29
2020-09-27,35
2020-10-02,18
2020-10-04,39
2020-10-10,2
2020-10-15,10
