date,deaths
2020-04-10,1
2020-06-04,2
2020-06-08,3
2020-06-10,4
2020-06-27,6
2020-07-07,7
2020-07-12,8
2020-07-18,9
2020-07-21,10
2020-07-22,11
2020-07-25,12
2020-07-27,14
2020-07-31,15
2020-08-03,16
2020-08-05,18
2020-08-08,21
2020-08-09,22
2020-08-11,25
2020-08-12,27
2020-08-13,29
2020-08-14,31
2020-08-15,33
2020-08-17,35
2020-08-18,36
2020-08-19,37
2020-08-20,38
2020-08-30,39
2020-09-02,42
2020-09-03,43
2020-09-04,45
2020-09-08,46
2020-09-09,47
2020-09-10,49
2020-09-11,52
2020-09-12,53
2020-09-19,54
2020-09-20,55
2020-09-22,58
2020-09-23,59
2020-09-24,60
2020-09-25,62
2020-09-26,66
2020-09-28,67
2020-09-29,68
2020-09-30,69
2020-10-01,70
2020-10-02,71
2020-10-04,72
2020-10-05,73
2020-10-06,74
2020-10-07,76
2020-10-08,77
2020-10-10,78
2020-10-11,80
2020-10-12,82
2020-10-13,83
2020-10-14,84
2020-10-15,85
2020-10-16,86
2020-10-19,88
2020-10-21,89
2020-10-26,91
2020-10-27,93
2020-10-30,94
2020-11-04,95
2020-11-07,96
2020-11-11,97
