date,deaths
2020-04-04,1
2020-04-13,2
2020-04-19,3
2020-07-14,4
2020-07-15,5
2020-07-16,6
2020-07-22,7
2020-07-25,8
2020-07-27,9
2020-07-28,10
2020-07-29,12
2020-07-31,13
2020-08-02,14
2020-08-03,15
2020-08-04,16
2020-08-07,17
2020-08-10,20
2020-08-12,21
2020-08-13,22
2020-08-14,23
2020-08-15,25
2020-08-18,27
2020-08-19,28
2020-08-21,31
2020-08-22,33
2020-08-23,34
2020-08-24,37
2020-08-25,39
2020-08-27,42
2020-08-28,43
2020-08-29,46
2020-08-30,48
2020-08-31,49
2020-09-01,50
2020-09-04,51
2020-09-05,53
2020-09-07,54
2020-09-08,57
2020-09-09,59
2020-09-10,61
2020-09-11,65
2020-09-12,66
2020-09-14,67
2020-09-15,70
2020-09-16,71
2020-09-17,74
2020-09-18,76
2020-09-19,77
2020-09-20,80
2020-09-21,85
2020-09-22,86
2020-09-23,89
2020-09-24,91
2020-09-25,92
2020-09-26,93
2020-09-27,97
2020-09-28,100
2020-09-29,101
2020-09-30,103
2020-10-01,107
2020-10-02,113
2020-10-03,117
2020-10-04,121
2020-10-05,131
2020-10-06,133
2020-10-07,137
2020-10-08,142
2020-10-09,149
2020-10-10,154
2020-10-11,159
2020-10-12,162
2020-10-13,167
2020-10-14,172
2020-10-15,176
2020-10-16,187
2020-10-17,189
2020-10-18,196
2020-10-19,198
2020-10-20,204
2020-10-21,209
2020-10-22,217
2020-10-23,222
2020-10-24,224
2020-10-25,236
2020-10-26,241
2020-10-27,245
2020-10-28,251
2020-10-29,255
2020-10-30,262
2020-10-31,267
2020-11-01,270
2020-11-02,272
2020-11-03,279
2020-11-04,282
2020-11-05,289
2020-11-06,293
2020-11-07,295
2020-11-08,297
2020-11-09,300
2020-11-10,306
2020-11-11,312
2020-11-12,318
2020-11-13,322
2020-11-14,323
2020-11-15,325
2020-11-17,327
2020-11-18,330
2020-11-19,331
2020-11-20,334
2020-11-21,335
2020-11-22,336
