date,deaths
2020-04-04,1
2020-05-29,2
2020-06-02,3
2020-06-03,4
2020-06-04,6
2020-06-19,7
2020-06-28,8
2020-07-06,9
2020-07-07,10
2020-07-10,11
2020-07-12,12
2020-07-13,13
2020-07-15,15
2020-07-17,16
2020-07-19,17
2020-07-20,20
2020-07-22,26
2020-07-23,28
2020-07-24,30
2020-07-25,32
2020-07-27,34
2020-07-28,35
2020-07-29,37
2020-07-30,41
2020-07-31,44
2020-08-01,49
2020-08-03,56
2020-08-05,57
2020-08-06,64
2020-08-07,67
2020-08-08,69
2020-08-09,72
2020-08-10,79
2020-08-11,83
2020-08-12,86
2020-08-13,91
2020-08-14,96
2020-08-15,101
2020-08-16,103
2020-08-17,107
2020-08-18,108
2020-08-19,112
2020-08-20,118
2020-08-21,130
2020-08-22,132
2020-08-23,136
2020-08-24,145
2020-08-25,150
2020-08-26,158
2020-08-28,163
2020-08-29,165
2020-08-30,167
2020-08-31,170
2020-09-01,171
2020-09-02,175
2020-09-03,176
2020-09-04,179
2020-09-05,182
2020-09-06,184
2020-09-07,188
2020-09-08,196
2020-09-09,200
2020-09-10,206
2020-09-11,213
2020-09-12,216
2020-09-13,220
2020-09-14,225
2020-09-15,230
2020-09-16,234
2020-09-17,236
2020-09-18,237
2020-09-19,239
2020-09-21,242
2020-09-22,243
2020-09-23,245
2020-09-24,251
2020-09-25,254
2020-09-26,255
2020-09-28,258
2020-09-29,261
2020-09-30,264
2020-10-01,266
2020-10-02,269
2020-10-03,271
2020-10-04,273
2020-10-05,276
2020-10-06,280
2020-10-07,283
2020-10-08,285
2020-10-09,287
2020-10-10,289
2020-10-11,290
2020-10-12,291
2020-10-13,295
2020-10-14,296
2020-10-15,298
2020-10-16,301
2020-10-17,303
2020-10-19,305
2020-10-20,310
2020-10-21,312
2020-10-22,314
2020-10-25,316
2020-10-27,317
2020-11-01,319
2020-11-02,323
2020-11-03,324
2020-11-04,325
2020-11-05,326
2020-11-06,328
2020-11-08,329
2020-11-09,330
2020-11-10,332
2020-11-12,334
2020-11-13,336
2020-11-14,337
2020-11-15,339
2020-11-16,340
2020-11-17,341
2020-11-18,345
2020-11-19,346
2020-11-20,347
2020-11-25,348
2020-11-26,350
2020-11-28,351
2020-11-29,354
2020-11-30,355
2020-12-01,356
2020-12-02,357
2020-12-03,358
2020-12-04,359
2020-12-08,360
2020-12-09,362
2020-12-10,365
2020-12-12,366
2020-12-14,368
2020-12-16,370
2020-12-17,371
2020-12-19,372
2020-12-22,373
2020-12-23,374
2020-12-28,375
