date,deaths
2020-04-15,1
2020-06-03,2
2020-06-04,3
2020-06-08,4
2020-06-09,5
2020-06-11,6
2020-06-19,7
2020-06-25,8
2020-06-28,9
2020-07-02,11
2020-07-03,12
2020-07-04,15
2020-07-05,18
2020-07-06,20
2020-07-07,22
2020-07-08,24
2020-07-09,25
2020-07-10,26
2020-07-11,30
2020-07-12,34
2020-07-13,39
2020-07-14,46
2020-07-15,49
2020-07-16,50
2020-07-17,53
2020-07-18,59
2020-07-19,67
2020-07-20,72
2020-07-21,75
2020-07-22,78
2020-07-24,82
2020-07-25,87
2020-07-26,90
2020-07-27,95
2020-07-28,99
2020-07-29,103
2020-07-30,107
2020-07-31,110
2020-08-01,112
2020-08-02,113
2020-08-03,118
2020-08-04,124
2020-08-05,128
2020-08-06,132
2020-08-07,133
2020-08-08,137
2020-08-09,139
2020-08-10,141
2020-08-11,145
2020-08-12,147
2020-08-13,149
2020-08-14,150
2020-08-15,154
2020-08-17,158
2020-08-19,159
2020-08-20,162
2020-08-21,169
2020-08-22,173
2020-08-23,174
2020-08-24,179
2020-08-25,182
2020-08-26,185
2020-08-27,186
2020-08-28,190
2020-08-30,193
2020-08-31,194
2020-09-01,200
2020-09-02,203
2020-09-03,204
2020-09-04,207
2020-09-07,208
2020-09-08,211
2020-09-09,212
2020-09-10,214
2020-09-11,216
2020-09-12,218
2020-09-13,219
2020-09-14,220
2020-09-15,221
2020-09-17,222
2020-09-18,223
2020-09-19,225
2020-09-21,227
2020-09-23,231
2020-09-24,234
2020-09-25,238
2020-09-27,239
2020-09-28,243
2020-09-29,247
2020-09-30,250
2020-10-01,251
2020-10-02,257
2020-10-03,258
2020-10-04,260
2020-10-06,266
2020-10-07,270
2020-10-08,272
2020-10-09,274
2020-10-11,276
2020-10-12,280
2020-10-13,283
2020-10-14,289
2020-10-15,291
2020-10-16,294
2020-10-17,296
2020-10-18,297
2020-10-19,300
2020-10-20,301
2020-10-21,302
2020-10-22,306
2020-10-23,309
2020-10-24,310
2020-10-26,312
2020-10-27,315
2020-10-28,317
2020-10-29,321
2020-10-31,324
2020-11-01,326
2020-11-03,328
2020-11-04,329
2020-11-05,331
2020-11-06,334
2020-11-07,335
2020-11-08,336
2020-11-09,338
2020-11-10,341
2020-11-11,342
2020-11-12,343
2020-11-13,345
2020-11-15,347
2020-11-16,348
2020-11-17,349
2020-11-18,352
2020-11-19,353
2020-11-20,354
2020-11-23,359
2020-11-25,361
2020-11-26,363
2020-11-28,365
2020-11-30,367
2020-12-01,368
2020-12-02,369
2020-12-03,370
2020-12-05,371
2020-12-06,372
2020-12-08,374
2020-12-09,376
2020-12-10,378
2020-12-11,382
2020-12-14,384
2020-12-15,385
2020-12-16,386
2020-12-19,388
2020-12-22,389
2020-12-24,391
